,alpha,estimator,l1_ratio
0,0.1108953272473392,0,0.11298171716776953
1,0.8691779941008809,0,0.24818374016104042
2,0.5219626353853831,0,0.5201240702998996
3,0.11336730150963935,0,0.21915648526578063
4,0.10034926587895655,0,0.1014418576052598
5,0.10456789062556147,0,0.10484246599714286
6,0.12637016481076868,0,0.1284977821660771
7,0.1008544130921888,0,0.10064463734284408
8,0.100603186798671,0,0.11806520433358844
9,0.10087409986438123,0,0.12003981364495413
10,0.11299750784706039,0,0.10084562788410084
11,0.10023182928313477,0,0.2545314346850046
12,0.10861489075702349,0,0.1012244918842762
13,0.10209984168783814,0,0.13575489664111506
14,0.1034031196684079,0,0.1548438913449921
15,0.8964604455769652,0,0.1456022134494563
16,0.24885848222219603,0,0.1196835972279402
17,0.10448781918827343,0,0.11010795794950466
18,0.10059418974681208,0,0.10065676450587516
19,0.1328544606939805,0,0.10513660890679542
20,0.11724087624648441,0,0.10014468916023511
21,0.10115455029641587,0,0.18279663278567684
22,0.10046293438330528,0,0.10766288349525863
23,0.10378289878112076,0,0.2319218675474021
24,0.10025065726398988,0,0.24162824479627187
25,0.12142563697826615,0,0.12244073407064086
26,0.755734071694768,0,0.5378924350691288
27,0.19966351085436174,0,0.7659187430038901
28,0.10330141434188898,0,0.1405291321250742
29,0.6965459828351311,0,0.852873425497166
30,0.5585215407144365,0,0.6495059374308962
31,0.5225322885525419,0,0.6646003733609851
32,0.8579045075224995,0,0.34011214547478447
33,0.8647505171648353,0,0.35659820014319676
34,0.6977242231790869,0,0.5638816023530357
35,0.2716562972547102,0,0.13656873170592132
36,0.5035827189568521,0,0.8027173189880226
37,0.4008866621477496,0,0.4627960559943475
38,0.54977675992708,0,0.1758251731439928
39,0.10028561252908123,0,0.10953984243116349
40,0.12800155996602444,0,0.10557548607613022
41,0.1002743888237306,0,0.24236911126183674
42,0.10274439293942364,0,0.1679315559169966
43,0.8079051933297777,0,0.8388751588764958
44,0.10107466826388567,0,0.10054512114961535
