,alpha,estimator,l1_ratio
0,0.1001340524960364,0,0.1082682172830705
1,0.10593525082744956,0,0.11221916149094152
2,0.43929725447875245,0,0.2771156218193521
3,0.10548617447696723,0,0.13314463617350225
4,0.45341594050435907,0,0.613385838574996
5,0.13612795050965276,0,0.11311223333276443
6,0.10694915986087716,0,0.16118990631701557
7,0.10016798876809321,0,0.10843132892343132
8,0.16768247995745628,0,0.10331591335652435
9,0.10915165077579854,0,0.11028626469055763
10,0.19094615921703867,0,0.10210770274145202
11,0.10095130214199977,0,0.2658923943988364
12,0.14061724557531927,0,0.10167606227669498
13,0.10669523274416559,0,0.10049604460922662
14,0.10043575558173803,0,0.18941784520418525
15,0.49443154814179735,0,0.8601387906063639
16,0.13577891085780935,0,0.10105060301762647
17,0.10136039415829112,0,0.11485766456120972
18,0.10726482248330838,0,0.12392296697081732
19,0.1109819810168145,0,0.15856304482236933
20,0.10007521614228253,0,0.10429780794660072
21,0.10001777526249213,0,0.1021190347622761
22,0.11423653623063805,0,0.10221134042272279
23,0.10673749298134005,0,0.16891296291515434
24,0.11356095012228162,0,0.16183709222680825
25,0.10689420373636678,0,0.14073827753770263
26,0.7521091978461819,0,0.14388794371664915
27,0.10012559651638797,0,0.10001527748781186
28,0.13110308425475808,0,0.4034282470146671
29,0.1095934160539777,0,0.11025399787811382
30,0.12148638323424349,0,0.1013176224740971
31,0.10069557947134607,0,0.16516545303765123
32,0.546776169809199,0,0.27937394354017697
33,0.10199507430013657,0,0.11596748569638637
34,0.10210597925768737,0,0.10805924145491969
35,0.10311860904921259,0,0.10040748325890815
36,0.10762180392711361,0,0.11999602609262144
37,0.43308210300127714,0,0.5769080417625904
38,0.7006627024338122,0,0.3941414615150781
39,0.8891516580034019,0,0.7050162266812711
40,0.3989552973996957,0,0.5537632949250496
41,0.10731985727124366,0,0.1281550667255728
42,0.11509077067074108,0,0.12289740079134623
43,0.6093578215853247,0,0.6424990528906085
44,0.1812893472040763,0,0.10452058404052061
45,0.6451532563011352,0,0.4560540943357422
46,0.10322116531898798,0,0.10661519855123702
47,0.10027933062171417,0,0.11772645245552285
48,0.10070472037040105,0,0.11904665602443024
49,0.1452587788848923,0,0.14946208922972792
50,0.1225208629345165,0,0.11250699363343616
51,0.10784360283760808,0,0.1005454262924349
52,0.7903389845680692,0,0.6988612428268393
53,0.10177804284352618,0,0.10119736341459959
54,0.14784204668484202,0,0.8927560323233268
55,0.629383932724869,0,0.6502289003036892
56,0.10320017016061918,0,0.10807429359792421
57,0.11972928315033826,0,0.13177240072887178
58,0.4239423014809458,0,0.8752846527078842
59,0.1008558453693737,0,0.13385051081733246
60,0.6866839864148013,0,0.5095889492528447
61,0.10356377064866445,0,0.3120275741390016
62,0.6218459993435782,0,0.44383442139603435
63,0.1148451948150755,0,0.13520748808179361
64,0.41354397620696126,0,0.5071184968778955
65,0.4605983770335288,0,0.19654190051380988
66,0.5905367830333573,0,0.21510045971046507
67,0.3648305810383524,0,0.6022637714915487
68,0.10052910637793888,0,0.12258615168975479
69,0.6592014336600488,0,0.8266530774737609
70,0.12190614869075472,0,0.10055443836187748
71,0.10542694632818433,0,0.10684528115909137
72,0.10039535560570823,0,0.11560642734788379
73,0.23297710128228033,0,0.18299702154893016
74,0.10130890590726026,0,0.2022180183049242
75,0.34464674769678516,0,0.8613164063668131
76,0.10435305095013445,0,0.12989293261685442
77,0.5023251104917702,0,0.39320202885678435
78,0.12459638832013598,0,0.2389121158375076
79,0.3605514373848787,0,0.10493596675632677
80,0.6422622655271683,0,0.8407151544584971
81,0.10397960554178678,0,0.10292062929858113
82,0.10369655869578513,0,0.1084483327600293
83,0.29313520151489114,0,0.2868855532034569
84,0.10091483690547022,0,0.1583986317205605
85,0.1597651480627659,0,0.15366418605914123
86,0.1019408367270256,0,0.13313434027516752
