,activation,alpha,batch_size,estimator,hidden_layer_sizes1,hidden_layer_sizes2,max_iter,solver
92,0,0.007011763880620972,133.0,0,65.0,32.0,2706.0,1
93,0,0.0016480768687029525,79.0,0,74.0,37.0,2565.0,1
94,0,0.00471210931924841,79.0,0,98.0,39.0,4641.0,0
95,0,0.00992741320788925,123.0,0,77.0,49.0,3755.0,1
96,2,0.0056612248216274304,118.0,0,78.0,44.0,4330.0,1
97,0,0.00751515288524284,68.0,0,68.0,38.0,3940.0,1
98,2,0.004874448134419398,85.0,0,70.0,49.0,3239.0,1
99,0,0.0064654831162089515,129.0,0,99.0,43.0,3522.0,1
100,2,0.006714682891208834,71.0,0,91.0,36.0,2929.0,1
101,0,0.0037625480011814066,123.0,0,72.0,35.0,4959.0,1
102,2,0.005192149177051066,112.0,0,64.0,38.0,3179.0,1
103,0,0.0031895663054076766,71.0,0,77.0,35.0,3583.0,1
104,2,0.004889285714126619,104.0,0,85.0,41.0,2945.0,1
105,0,0.0022316635205070455,67.0,0,66.0,30.0,4919.0,1
106,0,0.007682671856339427,118.0,0,67.0,42.0,3545.0,1
107,0,0.0066117707756688975,121.0,0,81.0,50.0,3543.0,1
108,0,0.007898506937408623,104.0,0,84.0,38.0,3057.0,1
109,2,0.00858859633896237,115.0,0,96.0,43.0,2990.0,1
110,0,0.005087378580890971,59.0,0,73.0,45.0,4554.0,1
111,0,0.004638720364850393,137.0,0,90.0,41.0,4128.0,1
112,0,0.004379000054267529,95.0,0,78.0,48.0,3939.0,1
113,1,0.001002794779444676,50.0,0,83.0,39.0,2704.0,1
114,0,0.009809424545737187,121.0,0,66.0,37.0,3587.0,1
115,0,0.003122410422830305,134.0,0,89.0,37.0,2883.0,1
116,0,0.00895832200760286,135.0,0,67.0,30.0,3838.0,1
117,0,0.007090289388230619,123.0,0,91.0,34.0,3356.0,1
118,0,0.005152742354921157,91.0,0,86.0,46.0,4798.0,1
119,0,0.0010237843621621234,52.0,0,77.0,38.0,3291.0,1
120,0,0.0013404601893101536,132.0,0,98.0,50.0,3484.0,1
121,2,0.005712674245289883,110.0,0,74.0,40.0,3649.0,1
122,2,0.00881515603819913,58.0,0,58.0,50.0,3775.0,1
123,2,0.0014485610006307811,78.0,0,88.0,35.0,3828.0,1
124,0,0.0028175511972747427,144.0,0,94.0,35.0,2907.0,1
125,0,0.0035643789130969453,77.0,0,100.0,44.0,4026.0,1
126,2,0.002710574762686362,76.0,0,82.0,44.0,2502.0,1
127,0,0.0012945135130785516,109.0,0,67.0,41.0,4540.0,1
128,0,0.005454008669578233,84.0,0,50.0,45.0,4723.0,1
129,0,0.005523658563340682,88.0,0,88.0,46.0,3904.0,1
130,0,0.007676814224338356,93.0,0,85.0,49.0,2827.0,1
131,0,0.008452738982527252,76.0,0,50.0,50.0,3082.0,1
132,0,0.005765961955844287,114.0,0,79.0,38.0,3462.0,1
133,0,0.004101802798534776,65.0,0,89.0,46.0,4097.0,1
134,0,0.00999047610021844,53.0,0,89.0,38.0,2921.0,1
135,2,0.0019774182151167654,103.0,0,76.0,42.0,3802.0,1
136,2,0.004014759703023411,108.0,0,68.0,34.0,4549.0,1
137,0,0.008195017243196084,109.0,0,84.0,30.0,4599.0,1
138,0,0.005535959565387308,110.0,0,65.0,42.0,2925.0,1
139,2,0.006308926607201535,124.0,0,59.0,43.0,3009.0,1
140,0,0.006106597280433564,52.0,0,94.0,49.0,3716.0,1
141,2,0.008905141547086106,134.0,0,79.0,42.0,2946.0,1
142,2,0.00818122608893702,111.0,0,100.0,33.0,3510.0,1
143,2,0.004666833985200601,69.0,0,83.0,40.0,4626.0,1
144,0,0.005081663547302135,53.0,0,79.0,49.0,3660.0,1
145,0,0.007665426101659205,56.0,0,52.0,39.0,3924.0,1
146,0,0.0018656296045280814,94.0,0,63.0,38.0,4778.0,1
147,0,0.0042711102117585845,70.0,0,79.0,49.0,4923.0,1
148,0,0.008934423527750122,129.0,0,87.0,48.0,2784.0,1
149,2,0.009046906464769853,145.0,0,90.0,39.0,2587.0,0
150,0,0.00785431622141842,78.0,0,80.0,44.0,3238.0,1
151,2,0.0045035646540020425,57.0,0,88.0,46.0,3473.0,1
152,0,0.007726201793262907,118.0,0,93.0,46.0,4404.0,1
153,0,0.00706445502173904,51.0,0,78.0,32.0,3963.0,1
154,2,0.0077066126115859,96.0,0,54.0,44.0,3606.0,1
155,0,0.008670927339002904,83.0,0,73.0,50.0,3665.0,1
156,0,0.009472842671542891,52.0,0,76.0,47.0,3482.0,1
157,0,0.009763435184355488,100.0,0,100.0,42.0,3425.0,1
158,1,0.001621697631080544,79.0,0,94.0,36.0,4314.0,1
159,0,0.005962292527854859,85.0,0,50.0,38.0,4536.0,1
160,0,0.0026628170721195695,60.0,0,89.0,42.0,4007.0,1
161,0,0.0072568255866219305,132.0,0,50.0,40.0,4609.0,1
162,2,0.006745594906648164,125.0,0,74.0,41.0,2593.0,1
163,0,0.008583322692830776,52.0,0,55.0,47.0,2853.0,1
164,0,0.0024006623933528586,60.0,0,75.0,31.0,2944.0,1
165,0,0.006053667528299105,119.0,0,51.0,32.0,3421.0,1
166,0,0.002073295812044802,52.0,0,87.0,36.0,4097.0,1
167,0,0.00958948865792963,125.0,0,77.0,44.0,4707.0,1
168,0,0.004191299414886197,113.0,0,95.0,30.0,3477.0,1
169,0,0.008097192372248922,94.0,0,63.0,47.0,2818.0,1
170,2,0.005103725798263917,124.0,0,71.0,43.0,3511.0,1
171,0,0.002485970669899273,75.0,0,82.0,46.0,2504.0,1
172,0,0.007246052766765865,81.0,0,58.0,39.0,3619.0,1
173,2,0.004872022489667391,79.0,0,91.0,40.0,3563.0,1
174,0,0.006315849603180806,92.0,0,100.0,39.0,4723.0,1
175,0,0.00778726656371645,137.0,0,69.0,44.0,3171.0,1
176,0,0.004195003840731804,88.0,0,85.0,38.0,4278.0,1
177,0,0.008506023917773541,78.0,0,63.0,44.0,3579.0,1
178,0,0.006758949423570503,123.0,0,73.0,37.0,3927.0,1
179,2,0.005359820890951757,88.0,0,83.0,36.0,2817.0,1
180,0,0.0014387301412426433,86.0,0,61.0,49.0,3209.0,1
181,2,0.0048216627410660375,109.0,0,65.0,49.0,3077.0,1
182,0,0.0047994697511387395,104.0,0,89.0,43.0,4173.0,1
183,2,0.004327331437630149,112.0,0,51.0,36.0,3829.0,1
184,0,0.007924647321611139,127.0,0,95.0,47.0,4654.0,1
185,0,0.005770160172653447,70.0,0,71.0,36.0,3840.0,1
186,1,0.0019129424228797537,59.0,0,90.0,43.0,3319.0,1
187,2,0.0016880093643111807,113.0,0,90.0,37.0,2504.0,1
188,2,0.005454814995764722,127.0,0,83.0,48.0,3924.0,0
189,0,0.0016701327905150817,92.0,0,53.0,39.0,3068.0,1
190,0,0.009942530703512956,116.0,0,60.0,48.0,4209.0,1
191,0,0.004957456090673924,62.0,0,67.0,43.0,3790.0,1
192,0,0.00679638093315813,81.0,0,63.0,37.0,3768.0,1
193,0,0.006438366713817947,127.0,0,83.0,42.0,3414.0,1
194,2,0.0020609178048744316,65.0,0,90.0,44.0,3230.0,1
195,0,0.0036011434039076792,77.0,0,73.0,32.0,4252.0,1
196,2,0.008910309244420732,91.0,0,70.0,33.0,3722.0,1
197,2,0.008952390529850116,67.0,0,79.0,32.0,4739.0,1
198,2,0.003319564770085908,135.0,0,95.0,44.0,3546.0,1
199,0,0.005202413371236824,105.0,0,100.0,43.0,2890.0,1
200,0,0.003718826711820295,127.0,0,97.0,42.0,3415.0,1
201,0,0.005946625400901942,69.0,0,62.0,38.0,4617.0,1
202,0,0.008929699273327124,72.0,0,82.0,31.0,4171.0,1
203,2,0.006800284507992242,68.0,0,53.0,33.0,4728.0,1
204,0,0.005541340075385935,67.0,0,82.0,49.0,2605.0,1
205,0,0.005390807276227673,103.0,0,78.0,38.0,4995.0,1
206,2,0.0034842558545740113,116.0,0,61.0,41.0,3716.0,1
207,2,0.009514404874214745,126.0,0,99.0,40.0,3983.0,1
208,0,0.009160859141054547,123.0,0,81.0,36.0,3910.0,1
209,0,0.0044514163375654935,84.0,0,51.0,36.0,2897.0,1
210,0,0.0066765734228304684,62.0,0,53.0,38.0,4395.0,1
211,0,0.003822518215188327,127.0,0,78.0,47.0,3239.0,1
212,0,0.0023578384808507864,102.0,0,76.0,46.0,3473.0,1
213,2,0.004279118813274855,139.0,0,56.0,41.0,4321.0,1
214,0,0.009558259015587843,139.0,0,76.0,36.0,3805.0,1
215,0,0.00254050722603952,85.0,0,83.0,44.0,3927.0,1
216,0,0.006023047280526898,103.0,0,96.0,50.0,3563.0,1
217,0,0.004777929748272865,71.0,0,79.0,43.0,3132.0,1
218,0,0.00772805422229378,84.0,0,84.0,49.0,3097.0,1
219,2,0.0016701250392102676,115.0,0,56.0,35.0,3111.0,1
220,0,0.007972746321305377,98.0,0,77.0,45.0,3266.0,1
221,0,0.0035444847626924275,132.0,0,89.0,42.0,3786.0,1
222,0,0.008362820861334367,140.0,0,86.0,34.0,2728.0,1
223,2,0.008034899840884882,62.0,0,51.0,33.0,3384.0,1
224,0,0.006094774065252249,117.0,0,62.0,37.0,3423.0,1
225,2,0.006701956243417081,109.0,0,80.0,37.0,3037.0,1
226,2,0.006989135540062416,104.0,0,65.0,44.0,4573.0,1
227,0,0.0037076218823635498,91.0,0,99.0,46.0,3401.0,1
228,0,0.003012082738212842,92.0,0,61.0,41.0,2517.0,1
229,0,0.005556259796063867,67.0,0,78.0,45.0,4985.0,1
230,2,0.0019912499922266702,65.0,0,73.0,42.0,3279.0,1
231,0,0.001687348516760724,104.0,0,70.0,41.0,2688.0,1
232,0,0.004724907767105598,92.0,0,99.0,50.0,3398.0,1
233,2,0.006300150815922508,83.0,0,74.0,32.0,3055.0,1
234,0,0.001253175398926885,82.0,0,81.0,46.0,3209.0,1
235,0,0.0024389403791472194,77.0,0,77.0,33.0,3185.0,1
236,0,0.005315357862884692,117.0,0,70.0,44.0,2656.0,1
237,2,0.00215545093035632,52.0,0,78.0,36.0,2579.0,1
238,2,0.008138749001850716,106.0,0,97.0,42.0,3116.0,1
239,0,0.007167898186502283,139.0,0,96.0,32.0,4443.0,1
240,2,0.008070973894224079,58.0,0,75.0,38.0,4649.0,1
241,0,0.006634840255897787,100.0,0,82.0,32.0,3975.0,1
242,0,0.0034824508505928364,126.0,0,81.0,41.0,2606.0,1
243,0,0.004347841980191365,103.0,0,83.0,42.0,3041.0,1
244,0,0.003881592598538288,106.0,0,83.0,41.0,4101.0,1
245,0,0.005881899694304096,83.0,0,79.0,43.0,3443.0,1
246,0,0.002356182132366498,63.0,0,63.0,42.0,3078.0,1
247,0,0.0032883515752314216,68.0,0,68.0,48.0,3646.0,1
248,0,0.009320120384266356,75.0,0,78.0,41.0,4543.0,1
249,2,0.00637728516730306,122.0,0,87.0,47.0,4396.0,1
250,0,0.002397399004039465,61.0,0,92.0,41.0,3231.0,1
251,0,0.00742129937277736,58.0,0,80.0,43.0,2500.0,1
252,0,0.002342943088362,125.0,0,60.0,36.0,4330.0,1
253,0,0.0058582250358415865,125.0,0,73.0,44.0,3394.0,1
254,0,0.0056454111214170434,135.0,0,77.0,42.0,4595.0,1
255,2,0.00907823005237601,112.0,0,51.0,50.0,4362.0,1
256,0,0.004935601211921314,104.0,0,75.0,39.0,4219.0,1
257,0,0.006553756172378139,53.0,0,89.0,44.0,3767.0,1
258,0,0.008576882899038305,85.0,0,72.0,46.0,4223.0,1
259,2,0.0018730962756736895,64.0,0,83.0,38.0,4849.0,1
260,0,0.008155588206458442,65.0,0,79.0,41.0,2890.0,1
261,0,0.006161668248213385,105.0,0,69.0,46.0,3878.0,1
262,2,0.0024525025574956404,63.0,0,65.0,46.0,3049.0,1
263,2,0.004759247051911225,116.0,0,81.0,41.0,2529.0,1
264,0,0.0067222146287686455,50.0,0,62.0,37.0,2981.0,1
265,0,0.008784202405064372,108.0,0,88.0,45.0,3052.0,1
266,0,0.008665523937976273,102.0,0,93.0,38.0,3223.0,1
267,2,0.0034400025026265733,89.0,0,99.0,39.0,4277.0,1
268,0,0.0028307470853170054,113.0,0,70.0,41.0,4725.0,1
269,0,0.006282160345065992,59.0,0,55.0,42.0,3097.0,1
270,2,0.004344171830281777,121.0,0,56.0,41.0,3831.0,1
271,0,0.0071707211852469355,88.0,0,84.0,38.0,4053.0,1
272,0,0.009784110958507779,125.0,0,60.0,41.0,2918.0,1
273,0,0.008331573367683144,94.0,0,90.0,42.0,3681.0,1
274,0,0.004251788256144691,76.0,0,61.0,42.0,3244.0,1
275,2,0.008859995671252511,90.0,0,90.0,45.0,4928.0,1
276,2,0.005004029395096775,133.0,0,87.0,42.0,4341.0,1
277,0,0.004147213632881988,102.0,0,83.0,44.0,3544.0,1
278,0,0.004498588305295943,125.0,0,82.0,34.0,4299.0,1
279,1,0.007452392487324165,81.0,0,54.0,46.0,4108.0,1
280,0,0.009363737659755594,59.0,0,94.0,30.0,3962.0,1
281,0,0.00586082770702045,76.0,0,84.0,47.0,4582.0,1
282,0,0.002586650750439045,87.0,0,100.0,33.0,2787.0,1
283,0,0.00785801274228781,70.0,0,99.0,37.0,4325.0,1
284,0,0.007284248802829053,52.0,0,79.0,42.0,3433.0,1
285,2,0.007327422431317196,109.0,0,72.0,39.0,3967.0,1
286,0,0.009975380123895101,127.0,0,59.0,34.0,2689.0,1
287,0,0.005595359669448399,60.0,0,79.0,33.0,2835.0,1
288,0,0.005543676589780139,61.0,0,92.0,36.0,3292.0,1
289,2,0.004271187416205264,133.0,0,55.0,34.0,2814.0,1
290,0,0.004467751623646902,81.0,0,79.0,47.0,2957.0,1
291,2,0.00554272672750291,70.0,0,52.0,35.0,4598.0,1
292,0,0.0068715813823867445,53.0,0,68.0,38.0,4983.0,1
293,0,0.008905947846082032,150.0,0,84.0,37.0,4117.0,1
294,0,0.0014823220232277833,69.0,0,65.0,46.0,3302.0,1
295,2,0.00595076170139671,64.0,0,54.0,34.0,3095.0,1
296,0,0.004611447400664633,105.0,0,59.0,49.0,4176.0,1
297,0,0.007590055961651097,143.0,0,60.0,44.0,4271.0,1
298,0,0.009159171722870275,93.0,0,66.0,33.0,4153.0,1
299,0,0.0064891951407458895,125.0,0,75.0,35.0,4821.0,1
300,0,0.0010082136916304226,124.0,0,68.0,41.0,4523.0,1
301,0,0.004231984911141646,103.0,0,82.0,42.0,3019.0,1
302,0,0.008834068304559661,58.0,0,77.0,43.0,3572.0,1
303,0,0.00780034642845933,124.0,0,50.0,31.0,3796.0,1
304,2,0.006208246083131583,130.0,0,98.0,43.0,4446.0,1
305,0,0.003229730647145222,75.0,0,70.0,44.0,2934.0,1
306,2,0.0023257724420782124,120.0,0,63.0,43.0,4181.0,1
307,0,0.006902612753464184,55.0,0,58.0,42.0,3820.0,1
308,0,0.009960972700462267,143.0,0,86.0,40.0,4808.0,1
309,0,0.0016149097982331773,117.0,0,59.0,50.0,4986.0,1
310,0,0.005999507055247059,50.0,0,81.0,47.0,4527.0,1
311,0,0.003247471552323786,51.0,0,97.0,30.0,3110.0,1
312,2,0.006309445779912635,110.0,0,52.0,43.0,4512.0,1
313,0,0.00936769074926111,136.0,0,94.0,32.0,3677.0,1
314,0,0.001294556365528222,59.0,0,91.0,49.0,3009.0,1
315,0,0.008534567693531572,63.0,0,72.0,36.0,3313.0,1
316,0,0.007806914395197653,72.0,0,63.0,39.0,2511.0,1
317,0,0.005619253204434965,104.0,0,80.0,38.0,3340.0,1
318,0,0.004309647416083579,70.0,0,66.0,39.0,3727.0,1
319,2,0.0020338221397779898,109.0,0,96.0,40.0,3484.0,1
320,0,0.008921572465376544,112.0,0,50.0,36.0,4193.0,1
321,0,0.00955438782164569,69.0,0,86.0,45.0,3270.0,1
322,0,0.007735850653686356,109.0,0,67.0,49.0,3081.0,1
323,0,0.00835327012448543,117.0,0,96.0,33.0,3205.0,1
324,2,0.009381423766860785,90.0,0,57.0,42.0,3448.0,1
325,2,0.0029169246138573456,101.0,0,96.0,43.0,3393.0,1
326,0,0.007093529422208215,52.0,0,100.0,46.0,4988.0,1
327,0,0.003809407118935386,88.0,0,79.0,35.0,3088.0,1
328,0,0.006093162276334219,123.0,0,60.0,34.0,3190.0,1
329,2,0.0028752959800496876,85.0,0,87.0,37.0,3722.0,1
330,0,0.009914674715822388,51.0,0,95.0,50.0,3581.0,1
