,colsample_bylevel,colsample_bynode,colsample_bytree,estimator,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda
0,0.30495725705860244,0.541667465310974,0.5602695479699035,0,0.002067573121308397,0.10550016879138419,5.0,8.0,326.0,0.28609605404059274,0.4538953066343923
1,0.4916334312464906,0.991907021565162,0.5820564355361911,0,0.00935292984851927,0.16251680322203363,6.0,5.0,156.0,0.5035061349219009,0.9015418216575886
2,0.4534865236989888,0.4405622658262038,0.4827177394891893,0,0.6468067293104738,0.1655681920496834,2.0,2.0,391.0,0.24844268104075598,0.3708282026340927
3,0.2220875632426063,0.9446728529046705,0.7214652112774452,0,0.0784467562144664,0.09952338517081999,7.0,5.0,275.0,0.06256591316180304,0.5286126918781253
4,0.3358424867486244,0.26612715580263874,0.8985123427358663,0,0.20602316365956608,0.15956641383325054,4.0,1.0,983.0,0.0744292084634321,0.3147569309698649
5,0.27595764374871856,0.5938510961938759,0.3044805362594539,0,0.05602965236714319,0.09362273673201038,7.0,6.0,873.0,0.5636694094325305,0.16940520942892054
6,0.9136729516664579,0.6762337887417967,0.6070863913687929,0,0.0010362753813967555,0.17437425255613478,8.0,1.0,572.0,0.1505389258624291,0.9379316457701673
7,0.6305398640262343,0.6995433166851505,0.9287083132947518,0,0.02539582922299911,0.1609821285301201,8.0,5.0,592.0,0.39595620334953585,0.6331262837439876
8,0.39566968312036366,0.42567760508151065,0.7741034366786708,0,0.0006139948011710226,0.0697004725299153,3.0,7.0,730.0,0.8813805834758388,0.8128395425053748
9,0.20103043359924802,0.6101500347922308,0.5458098247950632,0,0.00039354577387678245,0.1611319759737237,5.0,1.0,157.0,0.08802658572270236,0.5448263209828551
10,0.24109016458615895,0.7275060018735248,0.6210899059209161,0,0.0237253020216442,0.11229889188403426,9.0,5.0,236.0,0.6942877912263483,0.9052084624965238
11,0.779501284959446,0.570408246374911,0.8716550469545071,0,0.0004569879033775835,0.13206299763638427,8.0,1.0,535.0,0.5834786462223037,0.6970872326352163
12,0.38340897047266076,0.7628960164188183,0.6681422766872254,0,0.0013946686901505651,0.13413083277785773,6.0,1.0,51.0,0.10407977702960777,0.9996758353227393
13,0.2761136051169325,0.5505668523601659,0.23501120885310137,0,0.0011594045241047533,0.12840165343865861,10.0,4.0,146.0,0.026742724501721275,0.30046151521425735
14,0.9803969178098235,0.7901278827859531,0.922870540060574,0,0.0020974992578610824,0.15560717077271302,6.0,7.0,831.0,0.3865856335166442,0.5249396412756815
15,0.5084255902207934,0.3786639907908289,0.803641636911845,0,0.0001218095972865818,0.0734949045539963,5.0,3.0,602.0,0.052182400788790995,0.5740872446790337
16,0.42810894625067986,0.28022701780259296,0.32767104427882837,0,0.03333428031279424,0.12560392706647655,5.0,1.0,462.0,0.4894142027383184,0.41191920024631223
17,0.5149044161022205,0.5648810435651965,0.5067343818885506,0,0.0012859411984043612,0.16878157637328803,3.0,4.0,626.0,0.05728179619593398,0.19901570614591502
18,0.6836730869069686,0.5069198374953744,0.22501371803924733,0,0.027442015079231233,0.11518503159221744,6.0,4.0,394.0,0.4591797245499273,0.2449186111365925
19,0.48885301526529334,0.36873679345904864,0.2082649946279225,0,0.002772156126631304,0.17730315082190523,2.0,2.0,796.0,0.01983593861481232,0.6478530807738473
20,0.4188692625927979,0.5436686466545914,0.5283342931265466,0,0.005413130428767448,0.13059710984178313,10.0,2.0,323.0,0.18234473991678188,0.466084515397981
21,0.8650441215355719,0.49034537066346745,0.8305615678697065,0,0.002299851671967325,0.07124553573232373,8.0,8.0,367.0,0.2398268253597895,0.7866124515284285
22,0.22031828446904766,0.8558524929446041,0.2821570733230637,0,0.017915752796509532,0.15690043764732528,9.0,7.0,913.0,0.18159834811085968,0.5459040795596387
23,0.5967709146671661,0.393158305695429,0.39747903327201634,0,0.000763287855697306,0.07111712724057863,7.0,5.0,316.0,0.4179755127747101,0.06473616455850202
24,0.36556848904306916,0.9032856562980889,0.4933016879731731,0,0.0033821415648451203,0.13283703224986562,10.0,2.0,773.0,0.6463628068610573,0.8755370531013931
25,0.8331591891247316,0.2965637215774498,0.90925569584788,0,0.018083192099790243,0.1925750274572734,10.0,4.0,235.0,0.3438686339193588,0.7887634457451302
26,0.6783322570463813,0.3997349631111229,0.4275883624599571,0,0.0030050462440270554,0.13471034089260675,9.0,7.0,193.0,0.03723468940927125,0.5287370944797296
27,0.9759948203242771,0.9979868559733243,0.7120120677288476,0,0.005169824186053822,0.18245586160411617,5.0,2.0,710.0,0.2538636437462882,0.9178284464392692
28,0.9083356681717747,0.7359017494774848,0.7938722727913965,0,0.0007344776788604235,0.19972139152612484,10.0,4.0,404.0,0.2689293692363704,0.18649970450619485
29,0.2952881836078403,0.7541597124068307,0.4330651660338873,0,0.0023776650588834183,0.12236960766199087,6.0,7.0,23.0,0.21368209866642734,0.458569866425451
30,0.5091915603694142,0.9891250951014505,0.5248058364514344,0,0.00142764035154728,0.054738502150036346,10.0,3.0,302.0,0.026456925690220002,0.8071572892647322
31,0.6375983814545465,0.688779798019576,0.3029276375468981,0,0.0024602557433839323,0.06157082283633778,2.0,6.0,954.0,0.49222001998813225,0.3202163620181411
32,0.2151253934360389,0.7616963124266461,0.2552992384572348,0,0.00664254201784073,0.051969265390255565,7.0,5.0,151.0,0.26839898662678163,0.11476091670650712
33,0.4959232654313813,0.6486517679691535,0.6204429116111931,0,0.01928396516219605,0.1498416363162777,7.0,1.0,738.0,0.11180167253291137,0.7233520253698038
34,0.6187140651741337,0.2670338839335986,0.4556335015876389,0,0.00106756332240774,0.13160075837149712,4.0,6.0,275.0,0.19476839162994314,0.09629599962190966
35,0.7479857548547376,0.5041705078612922,0.3381377830700242,0,0.0385710364267091,0.17560198127047727,3.0,6.0,624.0,0.22786016398953457,0.421275834951517
36,0.8272176599187505,0.6241375351066425,0.5938640896550872,0,0.0029257650839021217,0.1645310707035156,7.0,1.0,338.0,0.07430620246312464,0.6414957702145038
