,colsample_bylevel,colsample_bynode,colsample_bytree,estimator,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda
0,0.6954922334754186,0.9762774639077155,0.6775770420906333,0,0.006969334710029363,0.16971539813163491,3.0,2.0,257.0,0.18824500621850618,0.7840585853780134
1,0.25410027009562774,0.5778162890624905,0.3467820964683286,0,0.15297885889754248,0.06311239362328047,10.0,5.0,671.0,0.05374933455662348,0.7890883867811405
2,0.8363103401186668,0.7619116929089332,0.7468536285779874,0,0.0009283752164359248,0.05590216641630534,6.0,1.0,860.0,0.7576334947778172,0.2258922698903933
3,0.3756967162128017,0.8613460156618022,0.7653121209086591,0,0.002784398440237956,0.12868524683484464,5.0,3.0,993.0,0.5446716562134951,0.3822559595860588
4,0.2259662750729184,0.23364500058531074,0.28232535959488086,0,0.005597930097830609,0.09855047985697987,3.0,5.0,823.0,0.25752741290937187,0.17118929726511584
5,0.5958889410909698,0.39645685332806746,0.5369141192044932,0,0.033903384196466546,0.09686103334367202,5.0,5.0,155.0,0.5724874933866507,0.6073269168624447
6,0.7683540898977472,0.8072418027300777,0.22139527550180021,0,0.008725206816136647,0.1852639183349156,5.0,2.0,454.0,0.08961605749056871,0.02671373090969839
7,0.8505565057838012,0.8683933209073428,0.9701745468777834,0,0.04040811453481708,0.180296660104158,10.0,6.0,754.0,0.1968230293033709,0.29598234030083026
8,0.4387732495225119,0.9044039519838281,0.3219383147791384,0,0.0004893074452083064,0.10132423556684121,5.0,8.0,62.0,0.18071493072813716,0.611244034595786
9,0.3829651366487232,0.6657832489796289,0.4213100909529349,0,0.02896813553211561,0.19930671579812,4.0,1.0,314.0,0.01027345709086442,0.26061934431378586
10,0.9997229781449811,0.8826001179165498,0.8301451537429646,0,0.16754669953988086,0.16606405194532048,7.0,2.0,172.0,0.6159308944901272,0.3134002611509295
11,0.9956280663346838,0.9171646481482935,0.46211136759587707,0,0.016124348698912966,0.1492313962532531,6.0,4.0,526.0,0.508338876133762,0.16120776642633386
12,0.26522676229605474,0.7999415695650705,0.3892951293105308,0,0.04481247666274233,0.1550152102170806,9.0,2.0,537.0,0.002928258745366785,0.8025144989003327
13,0.22732822300236188,0.8447179833506293,0.23835005655749406,0,0.04268503943550683,0.10524391132783328,5.0,5.0,197.0,0.1538139476054493,0.862535453299055
14,0.7929922938961531,0.9998142395791194,0.9041247911042564,0,0.005769692255282212,0.13422983146385356,8.0,7.0,283.0,0.034154220380049415,0.29425201431042125
15,0.25748211082577344,0.9589234657621428,0.572522096941386,0,0.0026225100620543285,0.13037630043178283,5.0,6.0,994.0,0.6519400646473237,0.6006110544111389
16,0.49137995956249947,0.4919880165208239,0.44361284305483206,0,5.730820256177882e-05,0.10103397469068345,7.0,5.0,321.0,0.0013134109934752058,0.23509899499448747
17,0.5895564485295834,0.3127193688156298,0.2547246253056452,0,0.0031974425161130915,0.18524329481608925,2.0,3.0,564.0,0.09429931844725647,0.9006942590503996
18,0.23617481620324113,0.7799938978446498,0.504466032882764,0,0.12184208502775833,0.10022546718421411,7.0,5.0,938.0,0.002071256485272399,0.07632450782355732
19,0.2816088921191828,0.4474571842380116,0.45026998721268746,0,0.002189214980773256,0.08826969490003124,9.0,2.0,318.0,0.20253667123989577,0.3866437888460083
20,0.6025483495910668,0.5261235686465859,0.9016882537151352,0,0.003763464310903783,0.1317504891439493,7.0,2.0,385.0,0.24395520465973064,0.1452381855989243
21,0.8690336998794691,0.9233946452268142,0.7725863156736139,0,0.0013890332892326082,0.15251811069377935,9.0,5.0,436.0,0.12401950235709681,0.9365081303684606
22,0.4215433929818421,0.5720622861873683,0.5712367280378842,0,3.436347009942817e-05,0.16196981141962632,9.0,3.0,688.0,0.21482943994055131,0.968605108186065
23,0.8197663625877689,0.600786347185074,0.3244712742234399,0,0.00039891630878680084,0.14319431794914286,4.0,1.0,627.0,0.18342929785918838,0.3765712865382519
