Date,Predict,Expected
2009-06-01,33.79851714366235,33.568000000000005
2009-06-10,33.165594572418016,31.75
2009-06-19,31.483618334302278,32.23
2009-06-30,32.17432975300436,30.92
2009-07-10,33.753154748906155,34.665
2009-07-21,35.3426308681254,35.61
2009-07-30,36.2668365478921,36.12
2009-08-10,35.19791912448852,35.16
2009-08-19,35.953084906488414,36.02
2009-08-28,36.0187734682931,37.35
2009-09-09,38.86622972876386,39.03
2009-09-18,38.58123883270102,38.669000000000004
2009-09-29,39.15472506086276,39.85
2009-10-09,41.041448492366186,40.98
2009-10-20,39.504002576320815,39.41
2009-10-29,39.25325413137509,41.11
2009-11-09,41.51835413854939,41.59
2009-11-18,41.369999035756216,40.52
2009-11-30,41.16645157727938,40.96
2009-12-09,41.11459274651321,40.36
2009-12-18,40.64648487304927,41.36
2009-12-30,42.7860825684026,42.42
2010-01-12,41.48836417707133,39.61
2010-01-22,39.43216551349921,39.63
2010-02-02,38.424951744242726,38.93
2010-02-11,39.230618696854606,38.52
2010-02-23,39.5038817631116,40.95
2010-03-05,41.17248462755568,41.6
2010-03-16,41.35171640037719,40.9
2010-03-25,42.824849069039956,43.74
2010-04-06,43.60414928029112,43.74
2010-04-15,43.08819423873559,43.06
2010-04-26,41.94074380090823,37.9901
2010-05-06,39.86422390413239,39.25
2010-05-17,37.57273318603707,38.74
2010-05-27,37.93257773445228,37.26
2010-06-09,38.62657459291796,39.92
2010-06-18,39.78611701223438,37.57
2010-06-29,38.02347820874976,39.975
2010-07-09,39.24437934001881,40.08
2010-07-20,40.6648492864665,41.2
2010-07-29,41.651112207990856,42.3
2010-08-09,41.397403347721664,41.46
2010-08-18,40.63188712954535,40.49
2010-08-27,41.07362201166161,41.868
2010-09-08,42.401738728301126,43.02
2010-09-17,43.917048789414906,45.43
2010-10-01,45.81677624141261,46.01
2010-10-12,46.078754580880535,45.98
2010-10-21,46.119479527007236,46.63
2010-11-01,47.69626415429253,48.03
2010-11-10,46.18010372655586,46.51
2010-11-19,45.864846296726384,46.065
2010-12-01,46.583486051198406,46.59
2010-12-10,46.648150713143586,46.5
2010-12-21,46.8399657002171,48.1
2011-01-03,47.179099347878,48.21
2011-01-12,47.11554995117108,46.8425
2011-01-24,46.620651292019375,46.56
2011-02-07,46.17710629659018,45.87
2011-02-16,45.540480728075416,45.79
2011-02-28,46.51001175204225,45.56
2011-03-10,45.63444258536494,46.0975
2011-03-21,46.960676582055484,48.25
2011-03-30,48.97487404503949,50.04
2011-04-08,49.111674510230515,48.5899
2011-04-19,49.84013146434797,50.0
2011-04-29,49.263133823750955,47.97
2011-05-12,47.48303865448504,46.09
2011-05-23,47.43543458581951,48.11
2011-06-02,47.299989377371546,47.09
2011-06-14,46.32003936424284,45.58
2011-06-23,46.24732624998885,48.14
2011-07-05,46.8439832632196,46.368
2011-07-14,46.83755905895286,47.55
2011-07-25,46.371033187765505,45.461000000000006
2011-08-03,43.17335074755678,41.27
2011-08-12,41.289609434719424,40.63
2011-08-24,41.01386097988661,41.56
2011-09-02,41.126673668631206,40.53
2011-09-16,37.45370019778839,37.58
2011-09-27,36.77006738919083,36.44
2011-10-07,38.51689249409186,39.27
2011-10-18,39.00671351275141,42.76
2011-10-27,41.52265624240895,41.54
2011-11-07,41.125546310671716,39.39
2011-11-16,38.576717791787416,37.83
2011-11-28,39.46577441048326,40.03
2011-12-07,38.47478042619314,37.52
2011-12-16,37.56045539100127,37.48
2011-12-28,38.19161248177005,39.458
2012-01-10,39.655408753803954,41.38
2012-01-20,42.12253070369495,43.16
2012-02-02,43.21159874714827,43.615
2012-02-13,43.57634823897293,43.75
2012-02-23,44.059961821268985,42.405
2012-03-06,43.33525766285567,44.14
2012-03-15,43.12593171315953,43.655
2012-03-26,43.305565141130884,42.51
2012-04-04,42.4088644260729,42.43
2012-04-17,42.15048058980267,42.25
2012-04-26,41.87014103139383,40.85
2012-05-08,40.169985903341804,37.65
2012-05-17,37.912963454272045,38.2
2012-05-29,37.45079402071865,37.93
2012-06-08,38.207761369839595,39.7
2012-06-19,38.055700524252465,37.47
2012-06-28,38.81881230372807,38.2
2012-07-10,38.19444583540545,39.165
2012-07-19,38.11931478788991,39.3
2012-07-30,39.54473238331435,40.37
2012-08-08,40.60083846453839,40.45
2012-08-20,40.07875388992712,39.37
2012-08-29,39.85804229120916,40.12
2012-09-10,40.95138079922629,41.93
2012-09-19,41.179345172698135,41.325
2012-09-28,41.64120534192293,41.4
2012-10-11,41.85027667876044,41.9
2012-10-22,41.28715455876359,41.6
2012-11-02,41.6747318152208,40.78
2012-11-13,40.727544520550275,41.63
2012-11-23,41.591576648919556,41.8901
2012-12-04,42.863923371512556,43.19
2012-12-13,43.52383874445957,43.18
2012-12-24,44.21700320008793,44.65
2013-01-07,44.55757066525883,44.43
2013-01-16,44.62735052621677,43.85
2013-01-28,44.251987364243504,43.92
2013-02-06,43.86746887558034,43.99
2013-02-15,43.78504807702275,43.41
2013-02-27,43.74012078915764,43.89
2013-03-11,43.200616374101934,42.231
2013-03-20,42.57007067733692,42.31
2013-04-01,42.02883000728799,42.495
2013-04-10,41.99858452102552,41.64
2013-04-19,42.33398697275004,43.29
2013-04-30,43.82141633680683,43.57
2013-05-10,43.381277743637106,42.96
2013-05-22,42.104958508365485,41.81
2013-06-03,40.854385988235784,39.94
2013-06-13,39.01363792597396,36.65
2013-06-24,38.061202639028004,37.58
2013-07-03,38.48951414007531,39.34
2013-07-15,39.66802138685006,39.69
2013-07-24,39.42196479715634,39.71
