Date,SP500
2009-06-01,-0.5032626706382903
2009-06-10,-0.7638047753359634
2009-06-19,-1.8316783580208895
2009-06-30,-1.040427610937085
2009-07-10,6.329263474192856
2009-07-21,2.43532562597543
2009-07-30,1.3280867784850585
2009-08-10,-1.100980008168201
2009-08-19,2.221787869706585
2009-08-28,-1.6090724410461037
2009-09-09,2.7385662270744753
2009-09-18,-0.7177781047722033
2009-09-29,-0.6967794803418911
2009-10-09,1.7044861414340935
2009-10-20,-2.6304924059093353
2009-10-29,-0.37283213554273104
2009-11-09,0.9112448398169647
2009-11-18,-0.28779141481590864
2009-11-30,0.4079257994093048
2009-12-09,0.9473920135992038
2009-12-18,0.6405906995275155
2009-12-30,1.5390342219462967
2010-01-12,-0.3374159966943623
2010-01-22,-0.20399206180230695
2010-02-02,-1.424404027964744
2010-02-11,1.8285470095447316
2010-02-23,1.6374662701219764
2010-03-05,0.3974376284587712
2010-03-16,0.49771984985908035
2010-03-25,1.3141424439303306
2010-04-06,0.47185581010553995
2010-04-15,-0.6542959151402864
2010-04-26,-1.355553795459823
2010-05-06,1.7986723080784015
2010-05-17,-3.598327220166025
2010-05-27,-2.0512708297909024
2010-06-09,2.7619606170834974
2010-06-18,-2.5388135892532895
2010-06-29,-0.43525439008165234
2010-07-09,0.2632859695724107
2010-07-20,1.531479598350789
2010-07-29,0.8763068644775039
2010-08-09,-2.338685420662402
2010-08-18,-2.1608061623439987
2010-08-27,1.1521775659968796
2010-09-08,0.888648743470799
2010-09-17,0.5786890469973867
2010-10-01,0.3137411344572481
2010-10-12,0.3736959221744631
2010-10-21,0.20605686900713205
2010-11-01,2.0725372012831813
2010-11-10,-2.1620181956275504
2010-11-19,-0.4628444091819544
2010-12-01,1.5175037541111336
2010-12-10,0.1452049661744313
2010-12-21,0.016111886474034172
2011-01-03,0.11220633327634229
2011-01-12,0.14893376356787802
2011-01-24,0.3512405337222472
2011-02-07,0.7561804708431501
2011-02-16,-1.06196302718688
2011-02-28,-0.3068041901948422
2011-03-10,-0.6026014296410418
2011-03-21,0.5385165817876829
2011-03-30,0.2377965600165572
2011-04-08,-0.8031434488627162
2011-04-19,2.445663584365878
2011-04-29,-0.7509718141473314
2011-05-12,-0.563559755102518
2011-05-23,1.2860550620709528
2011-06-02,-0.6712898779429709
2011-06-14,-0.8030464884039008
2011-06-23,0.7476774730570717
2011-07-05,0.15486043245371392
2011-07-14,1.5608077316575435
2011-07-25,-2.502343692031183
2011-08-03,-4.379334483667203
2011-08-12,-0.3608633361101836
2011-08-24,0.9604769321994326
2011-09-02,0.5264513743636149
2011-09-16,-3.136125293867415
2011-09-27,-1.4089670212336463
2011-10-07,3.7762798505061803
2011-10-18,0.17258682985656199
2011-10-27,-2.2071402675256624
2011-11-07,0.35399000113142587
2011-11-16,-1.4634142133961727
2011-11-28,3.7080886937757738
2011-12-07,-2.1366215641247006
2011-12-16,1.5709141879742379
2011-12-28,1.2030174507761981
2012-01-10,0.5341911804825755
2012-01-20,0.22538186703765709
2012-02-02,1.034530036478135
2012-02-13,0.16927071486153175
2012-02-23,0.29825926433715905
2012-03-06,2.187473938260908
2012-03-15,-0.13036001106250342
2012-03-26,-0.09431426642241977
2012-04-04,-0.9145910371448037
2012-04-17,-0.3287190224024397
2012-04-26,-1.0962321440871032
2012-05-08,-0.638249408676193
2012-05-17,0.7648903134271772
2012-05-29,-2.1026264788106808
2012-06-08,0.9889125790057266
2012-06-19,-1.6155795105650794
2012-06-28,2.5661915233249935
2012-07-10,1.6298680118063351
2012-07-19,-0.4845106434612538
2012-07-30,0.3894839191914997
2012-08-08,0.9448467179695103
2012-08-20,-0.2775140519013682
2012-08-29,1.2280670185017082
2012-09-10,1.6251830025273
2012-09-19,-1.3905446426199835
2012-09-28,0.7402232631413459
2012-10-11,1.3793625344962137
2012-10-22,-0.9577089420292607
2012-11-02,-0.09972529671248556
2012-11-13,0.09766268762742983
2012-11-23,0.076670120372635
2012-12-04,0.936575975663293
2012-12-13,1.0066967493554548
2012-12-24,0.6904038493609216
2013-01-07,0.37917042106101473
2013-01-16,1.8864476056692052
2013-01-28,0.322532950940201
2013-02-06,0.3854058744097621
2013-02-15,-0.27550642895301075
2013-02-27,1.3746049685554314
2013-03-11,0.011415632126831696
2013-03-20,-0.1583873657531776
2013-04-01,0.15300153347903467
2013-04-10,-0.8775453225945979
2013-04-19,1.5870764497704974
2013-04-30,1.4368840221803933
2013-05-10,1.2461347962222789
2013-05-22,-0.5558532203000124
2013-06-03,-0.8100054960349182
2013-06-13,-1.1888250607673028
2013-06-24,1.0388954891961557
2013-07-03,2.3230140505904293
2013-07-15,0.4688113575007079
2013-07-24,0.8126686694147037
2013-08-02,-0.32890105331116526
2013-08-13,-0.7931610623827668
2013-08-27,0.8759394474564655
2013-09-06,1.923035669661784
2013-09-17,0.37127681083965286
2013-09-26,-0.3041111092342812
2013-10-08,2.5095208510610822
2013-10-18,0.6068658480174536
2013-10-29,-0.290313255191682
2013-11-07,1.8782572820737111
2013-11-18,0.309953818549747
2013-11-27,-0.6927228507629394
2013-12-09,-0.7902010074978655
2013-12-18,0.7080321524928914
2013-12-30,-0.32445165736897486
2014-01-10,-0.5637222875133077
2014-01-22,-2.896157761645171
2014-02-04,2.978616325012938
2014-02-13,0.4225499844414657
2014-02-25,1.3431415717707598
2014-03-06,-0.8369081149008818
2014-03-17,0.40268633254071995
2014-03-26,1.1097719055078779
2014-04-04,-0.8076218721437582
2014-04-15,1.3771575812760886
2014-04-25,0.8185943938000589
2014-05-09,0.7022018524892012
