Date,Predict,Expected
2009-06-01,94.54179981035949,94.66
2009-06-10,93.93698239966697,92.84
2009-06-19,91.13946981241341,92.35
2009-06-30,91.3891651012996,88.25
2009-07-10,93.8355750159752,95.79
2009-07-21,98.12279841712187,98.95
2009-07-30,100.26414186731097,101.34
2009-08-10,100.22426685972235,100.3
2009-08-19,102.5284532333157,103.73
2009-08-28,102.06090915690288,104.06
2009-09-09,106.9097520158937,107.6
2009-09-18,106.8276707592651,106.32
2009-09-29,105.5791840565005,107.55
2009-10-09,109.38317484511236,109.63
2009-10-20,106.74619117540159,106.96
2009-10-29,106.56121874782349,109.92
2009-11-09,110.92164032792681,111.62
2009-11-18,111.29876722278249,110.3
2009-11-30,110.74994215674846,110.35
2009-12-09,111.39544708700672,111.18
2009-12-18,111.8922087397347,112.89
2009-12-30,114.62741573315517,114.06
2010-01-12,113.67514331417041,109.61
2010-01-22,109.38640430105849,110.73
2010-02-02,109.15275741983464,108.43
2010-02-11,110.41269352244936,110.13
2010-02-23,111.93334160328533,114.62
2010-03-05,115.07554300973945,116.82
2010-03-16,117.40143632860537,117.01
2010-03-25,118.54767807364289,119.39
2010-04-06,119.953348651685,121.68
2010-04-15,120.8838527304573,121.72
2010-04-26,120.0700199201663,113.2
2010-05-06,115.23609705274475,114.29
2010-05-17,110.17747182007226,111.12
2010-05-27,108.84062785393635,106.32
2010-06-09,109.25651652808317,112.61
2010-06-18,109.75104201714187,104.58
2010-06-29,104.1248109588526,108.31
2010-07-09,108.59516503364388,108.86
2010-07-20,110.52716869076467,110.66
2010-07-29,111.6297211762308,113.39
2010-08-09,110.7381646015109,110.16
2010-08-18,107.77965593156185,107.22
2010-08-27,108.45536478626185,110.77
2010-09-08,111.7543562131426,113.44
2010-09-17,114.09646485491383,115.0
2010-10-01,115.36080230462584,117.41
2010-10-12,117.84875638222503,118.52
2010-10-21,118.76421860114725,118.92
2010-11-01,121.38466123976596,122.5
2010-11-10,119.85152771035625,120.65
2010-11-19,120.09157822032198,121.4
2010-12-01,123.24224955749092,124.93
2010-12-10,125.11140456424172,126.43
2010-12-21,126.45037025806913,127.52
2011-01-03,127.66308551619399,129.09
2011-01-12,129.28225859538978,129.61
2011-01-24,130.06524285575742,132.46
2011-02-07,133.46163665167884,134.31
2011-02-16,132.8836774581853,133.62
2011-02-28,133.21004824106166,130.44
2011-03-10,129.65396669517622,130.77
2011-03-21,131.47421813400376,133.2
2011-03-30,133.51674501794204,133.3
2011-04-08,132.229409782666,131.72
2011-04-19,134.94142807332673,136.94
2011-04-29,135.91161919770664,135.52
2011-05-12,134.75626381988508,132.47
2011-05-23,134.1736371407254,132.16
2011-06-02,131.27282329731057,129.75
2011-06-14,128.70804718129594,128.75
2011-06-23,129.71263474656098,134.3
2011-07-05,134.50797756078535,131.41
2011-07-14,133.46105744017117,134.34
2011-07-25,130.9783514841253,126.65
2011-08-03,121.10357287643549,118.58
2011-08-12,118.15208825604054,118.51
2011-08-24,119.64826121234955,118.22
2011-09-02,118.84237081477266,122.55
2011-09-16,118.70667845236548,117.91
2011-09-27,116.2486869852634,116.07
2011-10-07,120.45312802248252,123.06
2011-10-18,123.27238535282149,129.06
2011-10-27,126.21146477073138,126.65
2011-11-07,127.09832833643296,124.48
2011-11-16,122.65834198716445,120.04
2011-11-28,124.49118966800845,127.1
2011-12-07,124.3843539919975,122.78
2011-12-16,124.70876843999477,125.35
2011-12-28,126.85798237454796,129.59
2012-01-10,130.28225835078737,131.91
2012-01-20,132.20730122080937,133.17
2012-02-02,134.54768364957792,135.82
2012-02-13,136.04990348492493,137.14
2012-02-23,137.54903275511197,135.16
2012-03-06,138.11658977495344,141.22
2012-03-15,141.03590559237753,142.06
2012-03-26,141.9260171531203,140.27
2012-04-04,138.987103152197,139.53
2012-04-17,139.07133834804188,140.66
2012-04-26,139.11803986612708,136.99
2012-05-08,136.1156621350545,131.35
2012-05-17,132.3546834266866,134.15
2012-05-29,131.32932657867548,133.52
2012-06-08,134.84039607548846,136.27
2012-06-19,134.06844980095298,133.39
2012-06-28,136.8130428729632,134.69
2012-07-10,136.88526922510195,138.29
2012-07-19,137.61997023115742,139.24
2012-07-30,139.78231740908225,141.11
2012-08-08,142.4432732037268,142.83
2012-08-20,142.4336266796693,142.1
2012-08-29,143.84508323329092,144.1
2012-09-10,146.44188870664183,147.39
2012-09-19,145.3404762512424,144.4
2012-09-28,145.4688823919761,144.02
2012-10-11,146.00655792218146,144.02
2012-10-22,142.64070758168947,142.1
2012-11-02,141.95829035337155,138.32
2012-11-13,138.45508702952625,141.83
2012-11-23,141.93874123172452,141.8
2012-12-04,143.12806473349056,143.26
2012-12-13,144.70219376312662,143.06
2012-12-24,144.04769174689574,146.7
2013-01-07,147.2562430076965,147.74
2013-01-16,150.5270376926157,150.92
2013-01-28,151.40676672955894,151.96
2013-02-06,152.54566276675308,152.95
2013-02-15,152.52861291691636,152.63
2013-02-27,154.72805956350615,156.82
2013-03-11,156.8379019943013,157.16
2013-03-20,156.9110784159823,156.84
2013-04-01,157.07996760510852,159.48
