Date,Predict,Expected
2009-06-01,48.01675499828049,47.86
2009-06-10,47.71247391093488,46.93
2009-06-19,46.02616503886731,45.81
2009-06-30,45.812034499663625,44.03
2009-07-10,46.70021137651053,48.03
2009-07-21,48.96878434340075,49.65
2009-07-30,50.71342175097757,50.61
2009-08-10,50.69170411236937,50.87
2009-08-19,52.21634699003965,53.07
2009-08-28,52.379458273467556,54.2
2009-09-09,55.42081257512575,55.6
2009-09-18,55.0986937954261,54.66
2009-09-29,54.59799195008461,55.17
2009-10-09,56.37218158392886,56.71
2009-10-20,55.0845358922881,55.14
2009-10-29,54.6816885430472,56.55
2009-11-09,56.75026858145872,56.72
2009-11-18,56.452491725582895,55.39
2009-11-30,56.17905014399542,55.31
2009-12-09,55.47098955235203,54.84
2009-12-18,55.255236157447506,55.67
2009-12-30,57.41640965046805,57.04
2010-01-12,56.67220998456405,53.87
2010-01-22,53.93135839800008,54.33
2010-02-02,52.78599138947231,52.2
2010-02-11,52.7098703889494,52.29
2010-02-23,53.53423667702806,54.98
2010-03-05,55.2109221847611,55.97
2010-03-16,55.50951628852362,54.97
2010-03-25,56.44981486072426,56.87
2010-04-06,57.27148977758214,58.0
2010-04-15,57.34832991996052,56.52
2010-04-26,55.39418484257536,49.32
2010-05-06,51.17891843197387,50.06
2010-05-17,48.56286291539035,49.27
2010-05-27,48.113228548529726,46.86
2010-06-09,48.934122388066946,50.61
2010-06-18,49.67653514732513,46.83
2010-06-29,47.84404657548596,50.06
2010-07-09,50.378609832972046,50.24
2010-07-20,50.77404536580808,52.07
2010-07-29,52.61222465235634,53.81
2010-08-09,52.12274165485033,51.67
2010-08-18,50.74157319953918,50.52
2010-08-27,51.280925957812414,52.16
2010-09-08,52.80685682565056,53.63
2010-09-17,54.45090515487493,55.468
2010-10-01,55.84765685216536,56.68
2010-10-12,57.16710178679941,57.14
2010-10-21,56.985226187439714,56.8
2010-11-01,58.42328795944705,58.42
2010-11-10,56.91765966370899,57.77
2010-11-19,56.523559269455916,55.8
2010-12-01,56.67921969763122,57.63
2010-12-10,57.94260695495468,57.64
2010-12-21,57.844828387358355,58.7
2011-01-03,57.73699126333388,58.93
2011-01-12,59.38593416704965,59.87
2011-01-24,60.24368954385539,60.98
2011-02-07,61.25286861794493,61.5
2011-02-16,61.21212507428742,61.55
2011-02-28,61.375673505226175,59.34
2011-03-10,57.85458166542268,59.345
2011-03-21,59.676860703589085,60.37
2011-03-30,60.49539430346234,61.28
2011-04-08,60.712243405108005,60.14
2011-04-19,62.84322329862221,63.46
2011-04-29,62.77362132658908,61.57
2011-05-12,61.04374907147114,59.08
2011-05-23,60.61003233800539,60.9
2011-06-02,60.32182279708286,60.27
2011-06-14,59.09152895969947,57.65
2011-06-23,58.88216428389838,60.44
2011-07-05,59.32245418402152,57.98
2011-07-14,58.652920519197046,59.8
2011-07-25,58.14139242696256,56.77
2011-08-03,53.56631353353968,52.9
2011-08-12,52.37009263559845,52.15
2011-08-24,52.15128953111028,51.73
2011-09-02,50.277338434396455,50.9
2011-09-16,48.77093384510766,49.35
2011-09-27,48.838534528034025,48.98
2011-10-07,51.160962361119175,51.65
2011-10-18,51.77257557734666,55.57
2011-10-27,53.10199195594635,52.02
2011-11-07,51.66979647643895,49.77
2011-11-16,48.57969935972529,48.43
2011-11-28,49.96426525889641,51.49
2011-12-07,49.71423204403631,48.335
2011-12-16,48.66668258583425,48.405
