Date,EM
2009-06-01,-2.429223026378894
2009-06-10,-1.1987768934163168
2009-06-19,-0.8389973722762891
2009-06-30,-0.17272803908048143
2009-07-10,9.16285494471589
2009-07-21,1.9547984079774932
2009-07-30,1.8445283569000228
2009-08-10,-2.5528263441624475
2009-08-19,2.25564535406262
2009-08-28,-0.003405140774306276
2009-09-09,4.05951734608798
2009-09-18,-1.1497852095797665
2009-09-29,1.256109702507836
2009-10-09,2.989833105059434
2009-10-20,-3.601750667835974
2009-10-29,-0.3977312068635111
2009-11-09,0.9933206970308724
2009-11-18,-0.5289756293430816
2009-11-30,1.5953888876588815
2009-12-09,0.37742369754201543
2009-12-18,0.709823768704827
2009-12-30,3.4479752620952584
2010-01-12,-2.196218347309451
2010-01-22,-0.4489636114637525
2010-02-02,-3.0407475542701903
2010-02-11,0.7722031771245982
2010-02-23,2.554210184609546
2010-03-05,0.5433080037989744
2010-03-16,-0.5968355760163677
2010-03-25,4.706232442640483
2010-04-06,-0.31058692205963434
2010-04-15,-1.4901823531422331
2010-04-26,-2.5992944707193972
2010-05-06,4.9331902367521785
2010-05-17,-4.273291245765427
2010-05-27,-2.0842082228903496
2010-06-09,3.6676720153461186
2010-06-18,-0.3353782258657911
2010-06-29,1.20702211538397
2010-07-09,-1.827693958677152
2010-07-20,1.4592048065531449
2010-07-29,1.0949325436671193
2010-08-09,-2.133798232336486
2010-08-18,-1.997377883392796
2010-08-27,1.4413979048199812
2010-09-08,1.2748130512590137
2010-09-17,2.0851901195139537
2010-10-01,0.8513674695412985
2010-10-12,0.14943399452409642
2010-10-21,0.3033482536042612
2010-11-01,2.2866484115216075
2010-11-10,-3.8515433550783627
2010-11-19,-1.3871290115536747
2010-12-01,1.1255531340462572
2010-12-10,0.12481372213690228
2010-12-21,0.7311090327249457
2011-01-03,-1.9145543703160093
2011-01-12,-2.2701722647353617
2011-01-24,-0.47360561024844233
2011-02-07,-0.8223662014815728
2011-02-16,-0.7183764375944668
2011-02-28,1.5724213846740636
2011-03-10,0.16339461230231483
2011-03-21,1.8725019405726722
2011-03-30,1.5023296270248538
2011-04-08,-1.8551668460621193
2011-04-19,2.573027448807199
2011-04-29,-1.4737323524980894
2011-05-12,-1.015137263946125
2011-05-23,2.919146421825784
2011-06-02,-1.6836637344179044
2011-06-14,-1.6350831084246449
2011-06-23,1.464076897737722
2011-07-05,-2.6921826688417156
2011-07-14,1.012679129901787
2011-07-25,-2.4794254726277436
2011-08-03,-5.032113795216171
2011-08-12,0.04751498599326496
2011-08-24,0.9447722862087273
2011-09-02,-1.0426523853917145
2011-09-16,-7.59017962549126
2011-09-27,-2.1552224875177495
2011-10-07,5.6994854393300365
2011-10-18,-0.670451966510294
2011-10-27,-2.8936944751895433
2011-11-07,-0.9977219290521986
2011-11-16,-2.0646920746701802
2011-11-28,4.324013773415978
2011-12-07,-3.8851350832047435
2011-12-16,0.1078235367837596
2011-12-28,1.8986458958646046
2012-01-10,0.5003009625524748
2012-01-20,1.794419293607893
2012-02-02,0.11955224084401286
2012-02-13,-0.08862033939486114
2012-02-23,0.7084841629005366
2012-03-06,2.1937452254584753
2012-03-15,-2.297390772180493
2012-03-26,-0.8004463609417404
2012-04-04,-0.2379100774572933
2012-04-17,-0.6587777756241594
2012-04-26,-0.8990744819080987
2012-05-08,-1.6646611913297373
2012-05-17,0.6984421096203101
2012-05-29,-1.9612721970716132
2012-06-08,0.7322999468483926
2012-06-19,-4.141812281479943
2012-06-28,3.599712580005536
2012-07-10,-0.01453969789149111
2012-07-19,-2.669948198927835
2012-07-30,0.6227287107235369
2012-08-08,0.5718069470854443
2012-08-20,-0.917790136150511
2012-08-29,1.239629898931069
2012-09-10,2.0722352921891707
2012-09-19,-1.7902571602715602
2012-09-28,0.7651671915860225
2012-10-11,1.0876248279237648
2012-10-22,-1.462638284573769
2012-11-02,0.17964378658846386
2012-11-13,-0.1286304057129139
2012-11-23,-0.09229726418555456
2012-12-04,2.324710066370238
2012-12-13,0.7729537959239862
2012-12-24,2.4015822141915946
2013-01-07,-0.2070085884460674
2013-01-16,0.4441830434768702
2013-01-28,0.9167328717069623
2013-02-06,-0.11960638529066184
2013-02-15,-0.4659057126102555
2013-02-27,0.7604717557190666
2013-03-11,-1.5707077372933858
2013-03-20,0.8028952128458248
2013-04-01,-0.6645473710990518
2013-04-10,-1.1681738533344554
2013-04-19,1.6666353812440908
2013-04-30,1.227572965596738
2013-05-10,-0.4331472489393937
2013-05-22,-1.990320045704181
2013-06-03,-2.2856111259608194
2013-06-13,-2.319384261457281
2013-06-24,3.8504846903901915
2013-07-03,2.4202079299502643
2013-07-15,0.8338113544739549
2013-07-24,-0.6753217506768857
2013-08-02,-1.3281382404475441
2013-08-13,-2.4948110817751616
2013-08-27,2.2524496728985977
2013-09-06,1.0878923395395101
2013-09-17,1.3322849794010105
2013-09-26,-0.5222597678131837
2013-10-08,3.605057998320591
2013-10-18,-0.8372646982454733
2013-10-29,-1.554360535111066
2013-11-07,0.8252582846988374
2013-11-18,-0.8153623060647761
2013-11-27,-0.05473650873210403
2013-12-09,-1.0109002670469567
2013-12-18,-0.8957235734054918
2013-12-30,-2.466059330063558
2014-01-10,-0.620630343741636
2014-01-22,-3.7952056602707547
2014-02-04,1.6104819171106333
2014-02-13,-0.14634382731804488
2014-02-25,1.3093191675734366
2014-03-06,-2.2802945881114964
2014-03-17,1.1220491362919898
2014-03-26,1.6912301152919633
2014-04-04,0.9569372120336483
2014-04-15,1.0333316830572898
2014-04-25,1.0369165568419496
