생일,남/여,개인/법인,특화여부,대구/그외,지원사업명,지원금액,정부지원,지자체지원,센터지원,기타지원,복합지원,사업화지원,마케팅지원,멘토링컨설팅,판로지원,당년매출액,당년고용,당년직원,당년투자금액,후년매출액,후년고용,후년직원,후년투자금액
0.58749 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,160000000 ,0 ,6 ,
0.04366 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,48720000 ,0 ,6 ,125000000 
0.45910 ,1,1,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,15000000 ,0 ,1 ,
0.55515 ,1,0,1,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,4000000 ,1 ,3 ,,18000000 ,,2 ,60000000 
0.32390 ,1,0,0,0,2017년 시제품제작 지원사업,8800000,0,0,1,0,0,0,0,0,0,0 ,,,,674943792 ,4 ,13 ,3300000000 
0.17593 ,1,0,0,1,2017년 시제품제작 지원사업,6400000,0,0,1,0,0,0,0,0,0,0 ,,,,1100000000 ,0 ,4 ,0 
0.90845 ,0,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,18000000 ,0 ,3 ,
0.57412 ,1,0,0,1,2017년 시제품제작 지원사업,8800000,0,0,1,0,0,0,0,0,0,0 ,,,,54000000 ,1 ,2 ,10000000 
0.68845 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,0 ,0 ,2 ,0 
0.15397 ,1,0,0,1,2017년 시제품제작 지원사업,8800000,0,0,1,0,0,0,0,0,0,0 ,,,,0 ,0 ,1 ,0 
0.42302 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,0 ,0 ,1 ,0 
0.46729 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,0 ,0 ,1 ,0 
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
