,Mkt-Rf,SMB,HML
1987-01-06,0.0035982295309104763,0.006173428165126989,-0.02084477276672181
1987-01-07,0.03370928131403669,-0.022731396024436273,-0.018487735152467405
1987-01-08,-0.005756574287661005,0.0074169211361383575,0.005661582426952077
1987-01-09,0.0025689070732962532,-0.0006167878123046694,-0.013062902511635064
1987-01-10,-0.008427439396229369,0.008807897872487596,0.0037232253209687352
1987-01-12,0.016768907073296254,0.009440750611343486,-0.0049458273599685305
1987-01-13,0.014768907073296254,0.0004406646007297354,-0.024531613208907028
1987-01-14,0.026572560603770633,-0.017244408886999747,-0.0017340223188214605
1987-01-15,-0.0003237825133588501,0.0015855508796122776,-0.0010351159003930683
1987-01-16,0.011587208311416996,-0.011445502025418055,0.007627300985348075
1987-01-17,0.007283541334268622,0.004617432889221026,-0.0010644581601139146
1987-01-19,-0.008527439396229367,0.0192719377599098,-0.004986220980840986
1987-01-20,0.028287208311416998,-0.0066234863203507854,-0.0031007713844716893
1987-01-21,0.006398229530910476,0.024398830341634054,0.007462939619313755
1987-01-22,0.0018908786657447977,-0.006084828794110547,0.007437644476168709
1987-01-23,-0.014656574287661005,0.012868296652821354,0.02189125634039473
1987-01-24,-0.008645673647445866,0.005603472617753673,-0.009530118633869912
1987-01-26,0.004839798780938227,0.016527389398088607,-0.01008544520845309
1987-01-27,0.0045361751471605215,0.006467965061030133,0.008958675104708005
1987-01-28,0.008839798780938227,0.002573464778433959,-0.0036208900566059125
1987-01-30,0.014421713468465734,0.014776149454666751,0.0019330646471885544
1987-01-31,0.013339798780938227,0.007074772128540376,0.010716704310054356
1987-02-02,0.0016397987809382269,-0.0053151710712606316,0.010970751424917106
1987-02-03,-0.017445673647445866,0.00206500612457422,-0.0007530023259511402
1987-02-04,0.019272560603770632,0.0066637062835276095,0.00038500524157908736
1987-02-05,0.010587208311416997,6.840739927366918e-05,0.022269261387883817
1987-02-06,0.0022835413342686215,0.002269739154299474,0.0221078078941981
1987-02-07,0.018694552403490588,0.0039568186551777185,0.009635217863576538
1987-02-09,0.0027434257123389954,0.011889363634339175,0.020080066922756816
1987-02-10,-0.01562012227192202,-0.001046957777128035,-0.008871676895090361
1987-02-11,0.01017621748664115,0.002778679716356958,0.004909491748367499
1987-02-12,-0.02083474311093462,0.005659324706638541,-0.003088464808323945
1987-02-13,0.01687621748664115,-0.0010605641977724928,0.011383884365778772
1987-02-14,0.0009725606037706324,0.008780936248372218,0.005028425911711622
1987-02-16,-0.007827439396229367,0.000565480770357011,-0.002574297780985184
1987-02-17,-0.009445673647445866,0.00022171430563592068,-0.004322911111904557
1987-02-18,0.007594552403490589,0.00492365160923407,-0.016011322603057196
1987-02-19,0.007901910054278108,0.00818452646986842,0.0038034211759298605
1987-02-20,0.00950928131403669,0.0051659357407620125,0.01256860971795104
1987-02-21,0.004816666233303908,0.004358179036770461,0.005038363897173337
1987-02-23,-0.003660201219061773,0.0009370516592971708,0.014478957387234719
1987-02-24,0.005421713468465733,-0.001526124846558321,-0.0028566493952958873
1987-02-25,0.010921713468465733,-0.006452718856045562,0.0012888355838921676
1987-02-26,0.0016325548050026822,0.005851963718995001,0.004741078270699465
1987-02-27,0.007132554805002682,0.006116352333077562,0.009417314920232192
1987-02-28,0.006828937748478385,0.006023586494799489,0.0015588931550775832
1987-03-02,0.008214502259555948,0.01857327077847521,-0.007971339099667105
1987-03-03,0.004572560603770632,0.018820490762419925,0.0019284352116515358
1987-03-04,0.012976217486641151,0.01298363170563017,0.0074363687219842975
1987-03-05,0.006287208311416997,0.0013078856054092348,0.0052638703051250645
1987-03-06,0.011790878665744797,-0.0025517455211651417,-0.014046439374894134
1987-03-07,-0.006001770469089523,0.005152094849623692,0.0075745216429620125
1987-03-09,-0.0003383899550586378,0.017320255850239212,-0.00607560258015547
1987-03-11,0.009165256889065379,0.019928202123918673,0.0027166244928852057
1987-03-12,0.0032725606037706323,0.015714547298821897,0.0015557315542641219
1987-03-13,0.005979877728077981,0.003668987945745215,0.005192306971585715
1987-03-14,0.010379877728077982,0.0039016945005868574,-0.0008092336482944679
1987-03-16,0.01358354133426862,0.008623505483822805,-0.011485738960331907
1987-03-17,-0.006109121334255202,0.019237509032268944,0.004552653914832233
1987-03-18,-0.0025164586657313785,0.021290014861208965,0.008529073834521733
1987-03-19,0.011183541334268621,0.017073008813096834,0.018834565317896252
1987-03-20,0.007383541334268622,0.004042988634811747,-0.0032295669804058517
1987-03-21,0.0035945524034905886,-0.0031420410899170147,0.0035842789513899887
1987-03-23,0.020636175147160523,-0.018023584497235515,0.02708396009376398
1987-03-24,0.006743425712338995,-0.025126897988241484,-0.004467669915460574
1987-03-25,0.011457966534805098,-0.0169334922846045,1.783499611697232e-05
1987-03-26,0.022643425712338995,0.007389859546840953,0.0018758366721136274
1987-03-27,0.0021253239716172967,-0.0004617550081364788,-0.0031123170266434217
1987-03-28,-0.013178286531534267,-0.0006238631256812299,-0.0025552211693039666
1987-03-30,0.019500118866069033,-0.010210020801220148,0.004677981307437365
1987-03-31,0.01990011886606903,-0.013731472133448972,-0.0011607285591425914
1987-04-01,-0.020678286531534265,0.004924165281404259,-0.005658203580683183
1987-04-02,0.0042543263525541344,0.0012529837752684328,0.015780797437614267
1987-04-03,-0.0385420334651949,-0.002930913523919103,0.013908024613315008
1987-04-04,0.009479877728077981,0.004627663565502261,0.011055822883599586
1987-04-06,0.017361610044941363,-0.000836941278845954,0.014261005136202692
1987-04-07,-0.010038389955058638,0.0015900645927630656,0.004723701007401999
