date,A005930,A000660,A051910,A005380,A068270,A005490,A051900,A207940,A028260,A017670,A035420,A055550,A012330,A015760,A034730,A018260,A096770,A105560,A032830,A000810,A033780,A006400,A000270,A003550,A066570,A090430,A086790,A036570,A251270,A010950,A011170,A316140,A010130,A035720,A009540,A024110,A009150,A030200,A034220,A021240,A035250,A032640,A018880,A004020,A002790,A000720,A267250,A010140,A128940,A004990,A023530,A005830,A008930,A097950,A078930,A139480,A006800,A161390,A086280,A081660,A036460,A029780,A271560,A000120,A088980,A008770,A282330,A012750,A005940,A001040,A047810,A001450,A009830,A071050,A088350,A006360,A000210,A002380,A004170,A003490,A028050,A241560,A000100,A003410,A042660,A007070,A079440,A016360,A008560,A011780,A007310,A000060,A030000,A011070,A069960,A000880,A010620,A010060,A047050,A017800,A138930,A031430,A028670,A009240,A294870,A069620,A047040,A026960,A138040,A004370,A064350,A039490,A003240,A020150,A009420,A012450,A161890,A000150,A181710,A006280,A006260,A004800,A051600,A192820,A180640,A000670,A001740,A042670,A000240,A111770,A005300,A010120,A214320,A139130,A005440,A120110,A114090,A034020,A204320,A011790,A012510,A018250,A003000,A000080,A057050,A073240,A003520,A071840,A280360,A007700,A005610,A003090,A004000,A001800,A105630,A012630,A005250,A011210,A011200,A020000,A192080,A003690,A175330,A115390,A185750,A089590,A002350,A006650,A192400,A049770,A001680,A014680,A010780,A023590,A267270,A079160,A009410,A052690,A001440,A085620,A009970,A079550,A069260,A018360,A018670,A014820,A032350,A013890,A039130,A284740,A103140,A170900,A298020,A001060,A006040,A285130,A027410,A003620,A005850,A009450,A008060,A034310,A002270,A082640,A071320,A093370,A005690,A000070,A001230,A093050,A037560,A145720,A020560,A241590,A001430,A286940,A006840,A024720,A272450,A034830,A005180,A112610,A271980,A226320,A006390,A025540,A004490,A001120,A003230,A000640,A145990,A003470,A000370,A001820,A298050,A033660,A210980,A007570,A000990,A001720,A003540,A064960,A300720,A053210,A003850,A108670,A005500,A025860,A010090,A033180,A019680,A249420,A005880,A006120,A267260,A010050,A002240,A006060,A029530,A123890,A126560,A009680,A042700,A034120,A096760,A015350,A017940,A298000,A001520,A003920,A002320,A234080,A002020,A183190,A011690,A014830,A011160,A004430,A060980,A079430,A006490,A293480,A002390,A017390,A033270,A002210,A002960,A138250,A072710,A002620,A019170,A004690,A017810,A298040,A000400,A058650,A192650,A003530,A031440,A091810,A009290,A016450,A033920,A017960,A213500,A016800,A009580,A002310,A078520,A268280,A002990,A001630,A281820,A070960,A122900,A016580,A081000,A016590,A002250,A030610,A102460,A007340,A005720,A003220,A000480,A152330,A005810,A008730,A026890,A002150,A011280,A084690,A001510,A004380,A001130,A003300,A011760,A036580,A000540,A161000,A011810,A088260,A002840,A101060,A005070,A037710,A008490,A101530,A002100,A136490,A003560,A007460,A000430,A002810,A293940,A002780,A007690,A002030,A079980,A104700,A000050,A001500,A007160,A025620,A003070,A008350,A004360,A035510,A025000,A000020,A004980,A033240,A214390,A092230,A068400,A102260,A001940,A012580,A003120,A015360,A003060,A003570,A195870,A012610,A001200,A272550,A005680,A003200,A000680,A095720,A138490,A004700,A214420,A000970,A044820,A004970,A095570,A011930,A000520,A298690,A005420,A007660,A001880,A128820,A091090,A029460,A001270,A036530,A001250,A003030,A027390,A004150,A013580,A004960,A016380,A007210,A000700,A008040,A016610,A030790,A001780,A005090,A001530,A008700,A028100,A123690,A084680,A210540,A000140,A001790,A194370,A001390,A229640,A006380,A068290,A075580,A012690,A282690,A002460,A004870,A000860,A030210,A010600,A016880,A015860,A306200,A002450,A012030,A035150,A005960,A015890,A007110,A005740,A009160,A039570,A200880,A044450,A000320,A071970,A012670,A067830,A009460,A077500,A077970,A009270,A004310,A267290,A003350,A090350,A004710,A000390,A004560,A002700,A082740,A008970,A014790,A006220,A000890,A001460,A002170,A004060,A001360,A017900,A092200,A117580,A143210,A267850,A069460,A084010,A074610,A004200,A005950,A013520,A004250,A013570,A003460,A004440,A001290,A003580,A033530,A100250,A000180,A089470,A003830,A011330,A007810,A078000,A013870,A004890,A003650,A101140,A000230,A002760,A017180,A000490,A005430,A144620,A248170,A035000,A019440,A009470,A010040,A009200,A005390,A264900,A004840,A010820,A024090,A092220,A001260,A005870,A102280,A085310,A034590,A007980,A003960,A014990,A014160,A227840,A032560,A097230,A011390,A027740,A003160,A009320,A007630,A010960,A003480,A094280,A014530,A001340,A002880,A023000,A002360,A063160,A103590,A034300,A058430,A130660,A053690,A008250,A001470,A005800,A037270,A012200,A009440,A092440,A025750,A014280,A058730,A002600,A214330,A002900,A000650,A002630,A016090,A017370,A016710,A005110,A001550,A014710,A002720,A017040,A009280,A075180,A007540,A012160,A023800,A001890,A120030,A001570,A011090,A001380,A111110,A003080,A119650,A006340,A007860,A025560,A004450,A009070,A058850,A020760,A105840,A000300,A011000,A004080,A100840,A007590,A023450,A004720,A016740,A003610,A012320,A107590,A008690,A000040,A000850,A134380,A009770,A002300,A005750,A058860,A010400,A041650,A005010,A163560,A100220,A069640,A004910,A012800,A133820,A010690,A055490,A145210,A004540,A001750,A006370,A006980,A017550,A002200,A006090,A004770,A010770,A011150,A014580,A084670,A134790,A047400,A009310,A015230,A006660,A006740,A000220,A004090,A008600,A014440,A021820,A015590,A005190,A011700,A090080,A002920,A013360,A001070,A031820,A000500,A007610,A001080,A155660,A090370,A006890,A000590,A069730,A083420,A024890,A008870,A129260,A008260,A092780,A002820,A079660,A003010,A001020,A004270,A009810,A013700,A018470,A001560,A009190,A012280,A011500,A006570,A025820,A001490,A004410,A007280,A008420,A000910,A118000,A014910,A026940,A049800,A012170,A004140,A014130,A001620,A093240,A023350,A002710,A088790,A002140,A021050,A000760,A072130,A084870,A006880,A023810,A123700,A005360,A051630,A003280,A002220,A010100,A006110,A004830,A010660,A023150,A009140,A025530,A002870,A004100,A003780,A002690,A002410,A027970,A071090,A155900,A020120,A093230,A019180,A002070,A024900,A023960,A001420,A145270,A109070,A015260,A024070,A013000,A011420,A071950,A044380,A005820,A030720,A007120,A005900,A009180,A172580,A006200,A001140,A015540,A008110,A018500,A001210,A005320,A005450,A011230,A010580,A140890,A003680,A011300,A000950,A153360,A010420,A015020,A004920,A002420,A103130,A001770,A003720,A204210,A012600,A008500,A159650,A140910,A002580,A010640,A033250,A005030,A013090,A025890,A019490,A008120,A083380,A083370,A002470,A001970,A012760,A003260,A000010,A000030,A000110,A000200,A000280,A000310,A000360,A000420,A000470,A000610,A000790,A000800,A000830,A000840,A000900,A000980,A001030,A001110,A001150,A001190,A001280,A001300,A001310,A001350,A001370,A001400,A001580,A001590,A001600,A001670,A001690,A001830,A001920,A001950,A001980,A002000,A002050,A002080,A002130,A002180,A002530,A002540,A002550,A002610,A002740,A002850,A002860,A002930,A002940,A002950,A003020,A003040,A003050,A003110,A003190,A003320,A003330,A003450,A003590,A003600,A003640,A003660,A003810,A003900,A003930,A003940,A003980,A003990,A004010,A004110,A004130,A004190,A004230,A004290,A004390,A004420,A004460,A004510,A004530,A004550,A004620,A004660,A004730,A004740,A004820,A004940,A005060,A005270,A005280,A005330,A005350,A005410,A005560,A005580,A005600,A005620,A005760,A005770,A005790,A005890,A005980,A006070,A006150,A006160,A006210,A006250,A006290,A006350,A006440,A006600,A006610,A006750,A007050,A007100,A007190,A007200,A007360,A007410,A007420,A007480,A007490,A007800,A007910,A008000,A008020,A008080,A008270,A008320,A008400,A008440,A008480,A008530,A008540,A008640,A008670,A008720,A008750,A008900,A008980,A008990,A009050,A009080,A009330,A009360,A009380,A009690,A009720,A009760,A009790,A009840,A009890,A009940,A010110,A010150,A010200,A010330,A010460,A010510,A010520,A010730,A011020,A011050,A011260,A011290,A011400,A011450,A011510,A011650,A011720,A011800,A011840,A012090,A012250,A012260,A012270,A012400,A012410,A012420,A012710,A012720,A012990,A013200,A013240,A013250,A014010,A014040,A014080,A014300,A014350,A014590,A014740,A014900,A015110,A015580,A015620,A015650,A015670,A015880,A015940,A016160,A016390,A016420,A016510,A016550,A016560,A016570,A016830,A016970,A017120,A017170,A017300,A017320,A018020,A018410,A018550,A018570,A018590,A019300,A019930,A021960,A022520,A023130,A024100,A024870,A024960,A025610,A025830,A025840,A025850,A025930,A026870,A027460,A027840,A030710,A032390,A032710,A037620,A038400,A042100,A045710,A045820,A051310,A053000,A060000,A063350,A063510,A064420,A064900,A067250,A067910,A068870,A069470,A070540,A072450,A073470,A073530,A076170,A076850,A078420,A080030,A080180,A080410,A080960,A080970,A080980,A081190,A081200,A081210,A081930,A081940,A082110,A082240,A082250,A082260,A083120,A083350,A083360,A083390,A083570,A083580,A083590,A083600,A083610,A083620,A084240,A086720,A088010,A089170,A089180,A089190,A089200,A090540,A090970,A090980,A090990,A091000,A092630,A092970,A093400,A093410,A093730,A099210,A101380,A101790,A101990,A102000,A103150,A103160,A104110,A104120,A105380,A108070,A108890,A110570,A114130,A114140,A114410,A117930,A119250,A121550,A121910,A122290,A122750,A134000,A138440,A139200,A149130,A192520,A192530,A307950
2000-01-31,4450,446878,,12311,,80470,,,,172673,,,4187,23320,,,,,,25183,9152,33934,5314,33748,,,,,,3246,13054,,15247,107431,25572,2401,65138,67119,,1237,,,568,3852,1135,328070,,3295,,5587,,2001,785,,,,7029,,,,15119,,,47935,,4927,,12869,13231,36141,,958,5017,,,4058,6716,27751,31932,9303,3457,,13316,3547,,,,23670,296,2640,10063,470,2757,,,3991,2731,7362,,9405,,,,,,,,286,,34911,,,344493,,354,11496,,17785,,13802,11637,4945,,,,40922,216682,,1050,,60379,14581,,,487,,,,,4260,6499,,1115,73914,,,2765,,,1596,9829,1467,14949,1368,,3994,2324,,32749,2882,,662,,,,,471,14546,,,7170,4437,1348,23861,,,3065,,37479,,1980,,,155365,4695,107114,,3405,,,,,,2463,5305,,,323405,1193,1738,6198,,26699,,,,160,7539,1768,,,,3741,,25967,,11389,707,,,6150,,,,16384,7849,1455,3105,7631,11739,,4818,19349,2153,,,,4627,3790,6601,6167,,,,536,,9334,2254,162393,3886,,,304829,5639,,1191,5288,196,15910,,,637,,42848,,5563,5107,,14349,214253,17631,,3926,,4363,,320764,1793,,,13044,,1541,12421,2068,1062,4548,,,724,141,19543,8756,,11825,,,3768,,,1399,774,360,3902,,3162,5551,4271,,,64043,5152,,,,836,,3345,3565,3784,,3013,736,420,3387,,4552,1510,2291,,372,,5243,530,23798,7459,141646,1099,14164,,38190,,2505,,32066,,3602,,317,,8716,7916,197,1229,,51243,13946,7726,,,1460,1945,3303,4949217,12473,221,1209,,6193,1804,1510,8846,,,,,596,1914,4455,7183,197207,33772,,880,3847,,6423,24940,9387,,,4070,,833,,2035,,6245,1051,,148873,,3262,,,2342,2378,,66270,4099,2874,4564,3241,14333,104315,175,1612,525,2312,,29377,2152,6770,10989,,,,,13173,4394,,12001,,3770,,,19315,,2180,242850,2256,10170,6701,3357,1157,,2331,208,3320,33286,509,909,282,630,,,,603,,807,,1941,,,4987,1044,,1823,,23853,1150,3199,1839,,1671,1612,10868,852,57555,6891,558,1736,5707,,,,,,,,9918,5051,405,190,613,2368,,812,15970,1653,,690,,32287,423958,7111,,,,3173,,886,680,,1019,9520,,,4663,,1545,509,1838,572,,805,5065,1215,,15272209,414495,,,,565,75360,151,190130,,1919,,4277,,2955,66991,2859137,,1471,,184,189,1559,,395,,,2735,,,,4912,105279,25880,,1482,832,,,2874,,31510,,339,6311,2320,211,,1572,323715,17550,,409,4578,12259,,2696,,1486,16156,,5099,1102,7265,,420,,1343,1054,4608,4369,350,,,,7545,547,2784,,1402,2010,3321,,649,7770,,807375,9903,5087,,,7380,330,,,,6060,,,,334,277,,412,,,8747,1560,1875,571,27942,5417,2475,455,1306,2014,335,,,,93648,4533,3317,234,1258,8727,1770,2130,561,3551,1370,442,,566,3531,1818,9966,2356,2702,5130,,,299,7622,,,1347,3445,,703,,1359,,1333,5500,267,1871326,131,297,,89614,786,,645,527,252696,346,990,421,652,,939,385,,2227362,1181,828,990,,,659,,1059,318,8763,,,,594,,784,,209,6442,561,1052,2210,2981,314,8092,1730,809,764,121,,74495,6394,,,79287,,468,2319,813,484,494,,,38247,1381,99248,3886,,,3518,4416,2780,13399,9227,,1178,5245,81983673,1572,349,20586,5236,2939,25006,975,,34990,501,16318,,32852,257,439,29702,,3877,883,,19224,3674,,,488,113,745,217,2764,394,28637,75361,,,104793,1328,21865,251,3349,47863,2645,12,3749,9547,5482,3440,109305,5506,5479,24969,14289,651,2587,3126,6958,45448,2776,4640,3132,4152,1814,419,8942,2215,96316,60857,14146,9570,6917,15822,7810,585,38514,15324,22844,2139,2372,8190,162135,2507958,3124,137630,11669,8335,15553,216,931,3467,1098,2511,2211,8133,16488,5131,3154,14150,6604,27445,11677,18229,518,2336,4436,22909,3077325,4734,9272,7910,5901,1899,123169,1969,2992,52143,3082,10124,4019,10004,2522,124384,,6745,2368,5219,3449,2340,1801,5494,89228,333,55938,340,40101,24626,172288,1335,7400,13096,295540,1332,74774,1914,25392,9486,3559,1883,3878,3677,1570,29437,477,15233,17883,2425,9018,6032,3185,5929,2199,3731,6702,70553,641,27,118089,6928,1525678,2169,16908,5779,816914,458,4718,7377,4765,27003,3315,6126,2899,3323,11199,7028,46522,3143,34074,1603,2599936,1693,245588,13768,59850,4435,5072,15656,68436,6087,2839,3151,2885,632775,5646,1705,246,19462,950,137600,21607,1376,3528,1167,21380,90614,18640,1780939,19505,1876,2242,14635,,421424,3263,2329,38781,6861,737,3982,23924,946,6730,47540,2020,12103,2132,3985,46402,1239,234343,10181836,1143,2689,2175,37945,2057,7257,8878,1100148,468,23598321,19968050,857,22246,37566,8284,1018,6809,666,8199,2749,,18851,4120,4768,1192,3011,22443,96590,8436,25933,8029,29857,2348,4444,122367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-29,4051,376027,,10100,,67091,,,,200693,,,3596,19927,,,,,,26211,10359,31634,4597,31429,,,,,,3092,12810,,11477,171716,23144,2004,65640,61214,,1309,,,438,3329,1058,276332,,2849,,5146,,1999,839,,,,7715,,,,15613,,,44389,,4665,,13844,13411,30281,,961,4983,,,3850,5429,29931,29073,8160,3081,,13830,3327,,,,25996,288,2251,11494,487,3599,,,3513,2504,4445,,9540,,,,,,,,291,,34057,,,342683,,348,12018,,18533,,13987,10747,4411,,,,38648,209207,,925,,57414,13352,,,417,,,,,4108,5733,,1203,69049,,,2822,,,2389,6941,1928,18164,1280,,3638,3364,,35186,2937,,648,,,,,473,15486,,,5841,4057,1062,23208,,,2629,,38528,,1696,,,159935,4760,115915,,9668,,,,,,2502,5411,,,287520,1236,1727,6155,,26614,,,,146,8426,1449,,,,3081,,22672,,9483,656,,,6784,,,,14218,8215,1689,2789,6645,14754,,4476,16491,2478,,,,4648,4232,6920,6870,,,,495,,14792,2018,213457,3868,,,262372,4933,,1043,5017,184,16584,,,581,,42909,,5015,4629,,12496,215604,15020,,4194,,3770,,255484,1782,,,11301,,1402,10731,3092,1163,4125,,,706,190,19628,8376,,10846,,,3688,,,1209,790,425,4217,,3534,6753,3488,,,56666,5221,,,,805,,2857,3667,3722,,2949,655,513,3100,,3923,1618,2528,,320,,4909,440,21689,6082,124700,1115,13101,,34731,,2435,,28880,,4048,,302,,11540,6952,178,1160,,49292,17990,6299,,,1485,2022,3163,5340592,10024,207,1221,,5664,1764,1315,10538,,,,,647,1751,5396,6634,178241,34225,,1161,4090,,6030,25685,8526,,,4663,,829,,2370,,6050,1066,,122073,,2681,,,2254,2343,,60168,4087,2400,3780,2650,11712,91281,216,1506,521,2324,,23548,2228,5886,11594,,,,,11562,4222,,10681,,3990,,,19861,,1985,229711,2266,12074,5971,3404,1023,,2101,211,3201,28498,497,970,280,637,,,,650,,843,,1698,,,3885,1056,,1508,,23379,1052,2625,1890,,1549,1240,9101,763,57210,6349,470,1819,5603,,,,,,,,8963,5053,362,181,590,2345,,976,16029,1542,,775,,27746,341896,7382,,,,3092,,823,779,,984,8147,,,5830,,1473,573,1399,437,,659,4759,1107,,12442403,349650,,,,563,73979,172,235622,,2189,,3813,,3031,74956,2756028,,1187,,223,188,1529,,350,,,2446,,,,5062,88227,23524,,1367,922,,,2450,,36295,,320,5804,1982,220,,1623,267698,14808,,410,3365,12411,,2584,,1689,14236,,4358,1069,6504,,405,,1632,1013,5009,4061,322,,,,6242,498,2901,,1561,1762,6356,,583,7267,,1148813,10048,5014,,,6209,313,,,,4633,,,,342,256,,379,,,8389,1559,1959,488,25671,5395,2396,446,1507,1923,326,,,,63820,4020,3081,246,1365,8142,1927,1696,508,3082,1463,376,,533,2983,1731,10397,2781,2621,4997,,,477,7209,,,1239,3135,,537,,1252,,1166,5082,258,2217773,113,314,,76042,695,,587,510,245635,299,865,358,584,,880,384,,1854097,1120,738,981,,,638,,1058,277,8002,,,,679,,723,,219,5506,574,880,2649,2793,275,7133,1688,611,684,115,,58712,5504,,,68185,,406,2552,727,433,467,,,49344,1431,46549,3744,,,3172,3938,3058,13765,8673,,1114,4709,83664159,1726,356,17624,4643,2821,30756,854,,37468,447,13685,,36172,241,386,26087,,3549,728,,20126,3357,,,438,116,703,234,3228,397,27401,70565,,,96475,1260,17188,267,2762,35908,2645,10,3279,7968,4389,3679,105356,4861,4920,22196,11949,655,2291,2960,6861,43039,2829,4597,3097,4282,1522,353,7593,2235,106428,52458,12267,8683,7750,14268,5829,531,34931,11700,20562,1914,2249,8040,146501,3566062,3111,107639,10400,8512,15553,200,817,2915,1948,2529,2069,8408,17461,5237,3266,13416,6212,27372,11642,16779,422,2623,3930,23217,3302850,4918,7708,6386,5730,2226,120575,1931,2735,51310,3086,9130,3691,8756,2277,144988,,6565,2364,4447,3092,2054,1560,4986,80158,298,53317,323,38607,23384,162056,1040,,14389,293801,1271,65804,1547,22722,9455,3332,1395,3562,4372,1187,29924,435,15978,18934,1821,8811,4972,2585,5562,2201,4002,8127,56172,624,25,124383,6143,1360596,1963,14013,6819,857819,441,4988,6913,4570,24058,3083,5923,2836,3365,12110,6444,41935,4058,29193,1504,2354144,2159,232350,16469,66990,4388,5835,14181,58673,5563,2109,2482,3039,544476,5445,2473,257,20093,863,153050,20297,1747,2602,1028,21023,159642,15580,1497360,21913,1921,2039,12905,,349581,3021,2555,33848,8500,778,3828,20149,985,6649,49121,1869,11856,1990,3577,44121,1099,268167,10083934,240,2701,2058,32210,1809,7929,8156,1006496,428,26424103,22026146,890,17665,63898,8163,1029,5688,542,8210,2489,,16270,4704,4100,1206,2758,18646,80455,7278,25893,6883,24725,2317,4175,113154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,4670,413902,,9453,,61710,,,,197726,,,3066,18593,,,,,,20720,10368,28814,3986,24909,,,,,,3039,11177,,11324,111853,23827,1718,65212,51521,,1692,,,395,3196,1097,247012,,2552,,4839,,1701,906,,,,5375,,,,16311,,,41683,,5063,,15037,10161,28392,,907,4787,,,3420,4819,29722,26560,8271,2873,,15296,3738,,,,20679,253,2401,14900,493,4206,,,3366,2487,4368,,8469,,,,,,,,391,,33114,,,382143,,426,10312,,20635,,19805,8700,4343,,,,41703,188998,,890,,55857,12810,,,393,,,,,6662,6862,,1773,66080,,,4001,,,5267,8554,1761,15389,1289,,3162,3895,,40858,3610,,592,,,,,398,14149,,,5791,4462,1395,24502,,,2523,,39273,,2146,,,191181,4785,111252,,35792,,,,,,2666,5927,,,218462,1201,2123,6584,,29795,,,,211,8527,1404,,,,3072,,20685,,9072,930,,,7736,,,,16606,9199,2133,2847,6258,12916,,3941,14900,3202,,,,5271,5746,6981,6641,,,,564,,19739,2215,222657,4199,,,272996,4904,,923,5256,198,15391,,,711,,39306,,5368,5247,,16925,228638,15010,,4287,,6053,,254149,1874,,,12341,,1628,11007,3929,1461,4915,,,772,280,19448,15999,,9958,,,3284,,,1195,891,749,4056,,3882,6510,3553,,,61300,5460,,,,949,,3221,4635,3427,,3262,819,1360,3882,,3946,2027,2882,,357,,3684,497,21875,6433,133035,1750,11724,,50953,,2765,,30381,,4263,,512,,12748,7263,211,1364,,69118,21481,7179,,,1759,2285,3396,5993084,13074,263,1467,,6035,1823,1903,13250,,,,,616,1958,7203,6142,183853,42328,,1371,3487,,8700,28098,8902,,,5489,,1035,,4392,,6242,1364,,142145,,3101,,,2547,2459,5370,102597,4327,2547,3573,3084,14197,99539,244,1614,565,2260,,35218,2501,6592,12097,,,,,10359,3761,,11267,,4862,,,19478,,2196,292517,2490,12127,6458,4522,1046,,1892,300,3608,29694,537,1028,481,731,,,,733,,863,,1869,,,5577,1018,,1651,,23233,1140,2590,2630,,1985,1221,9062,989,57639,7336,493,2327,6077,,,,,,,,9625,6585,405,207,770,2281,,793,21443,1858,,814,,26603,386606,7321,,,,3916,,975,1227,,1023,9332,,,7660,,2081,1142,1353,483,,698,6057,1539,,13789839,371175,,,,653,74308,336,240145,,3138,,4820,,3629,123969,2930897,,1154,,317,227,1787,,400,,,2798,,,,5167,90707,25143,,1487,995,,,2460,,49017,,341,6447,2209,225,,1726,384991,36266,,639,3777,13648,,2916,,2126,15868,,5286,1277,7558,,498,,1440,1412,4357,4833,339,,,,6589,705,2883,,2409,3070,13645,,561,7900,,1164188,12109,6294,,,6326,359,,,,4847,,,,402,294,,547,,,10528,1573,2075,537,31737,5421,2800,510,1574,2316,385,,,,132654,4265,3849,370,1684,9947,3052,1852,654,3608,2273,450,,696,4421,2594,10253,2850,3611,5509,,,1296,7492,,,1726,3984,,777,,1337,,1298,6597,350,1738442,132,363,,76878,815,,677,580,364162,326,1044,450,673,,969,537,,2024133,1300,914,1224,,,799,,1335,288,9491,,,,1261,,796,,245,6237,556,1064,3917,4077,380,8259,1846,644,860,158,,60181,7896,,,62929,,508,2912,744,461,708,,,44137,1532,22831,4278,,,6373,5006,4918,15777,8175,,1243,5926,174830484,1935,423,15973,5798,3148,33283,867,,41261,545,14562,,39050,287,563,28733,,3809,957,,18633,4126,,,507,129,813,273,3750,442,38162,130092,,,116818,1387,16698,303,2136,29173,2645,10,3308,7420,4237,4641,106647,4660,6542,22279,11511,903,2249,3636,5579,53056,4006,6998,3056,5011,1495,452,8462,2919,87649,61067,14671,10840,7786,25187,4852,566,39519,9788,22455,2209,3205,10123,153042,5793559,2618,96458,12750,9317,15553,238,1265,3013,3458,4008,4074,12570,22001,5418,3064,10536,7931,23718,11932,16951,389,2734,4332,28020,3067140,7281,8754,7046,5755,2578,141363,2758,2865,48980,3333,11976,4961,7397,2765,167106,,8904,2297,3072,2850,1655,1241,4618,92408,370,54770,403,44733,23493,175147,865,,13095,281010,1274,85296,1621,21910,15486,3543,1102,3739,4758,1044,36128,594,17375,21960,2614,6973,4571,3152,7046,2597,3965,7730,62425,682,28,158389,7654,1965252,2588,20335,6242,785580,459,3876,7600,6560,43683,2832,5247,3519,4259,14669,17421,49144,4241,24503,1413,2523261,2145,253538,21765,65130,5062,7639,15771,60362,5951,1995,2745,3457,626355,5374,2226,307,20542,987,142925,22444,1177,3835,996,23571,195271,17200,1545467,23870,1635,1694,14605,,320735,3449,3287,27121,17110,952,4780,20952,1910,6812,48394,2134,10528,1942,3940,55271,1238,253265,10681890,446,2266,2333,33520,2261,17356,6233,1387680,569,32261574,23175336,1166,16835,50376,8990,1351,6732,748,8945,2374,,11927,8559,4678,1761,2810,16432,138050,8135,26979,6768,20489,2602,5147,85569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
